de'shachaari,vagabond
avmaan,disgrace
rujupan,Honesty
nittapan,Honesty
ghaan,foul smell/stink
durgandhu,foul smell/stink
samo',equality
samapan,equality
samato',equality
seeso'vri rhaaste',poise
thiramkani rhaaste',poise
gaal',scolding
nindano',scolding
thuvni,scolding
samarthuvaan,expert
niraasho',disappointment
sthiti,condition
smarana shakti,memory power
moorchchho' lage' ste'no',Unconsciousperson
smarano',memory
anayo'nyu,intimacy
pakvo',Ripeness/maturity
pikkini,Ripeness/maturity
mo'jo',pomp
me'rchini,pomp
bandaa,pomp
virodh,enmity
paritaap,Pity/sympathy
phalchaataap,Pity/sympathy
anutaav,Pity/sympathy
bhook,hunger
se'limbu,prosperity
se'lipam,prosperity
sukkini,drought
che'duv,education
vidyo',education
kruti,creation
utpaadano',creation
roopke'rni,creation
srusht'i,creation
gunnun,character
gunnunu saar,character sketch
patni,Chastewoman
dhamaadhaam,Haste/tension
dhaak,fear
no'vate'ko' saatto' dhakkini,Fear of unfamiliar persons
abhyaas,exercise
saadhu,Harmless person
paalano' krni,maintenance
parihaar,expiation
praayashchittu ke'raste',expiation
parihaas,sarcasm
parisuddhi,purity
paritaap,sympathy
balahin,weakness
balshaali,strong person
pavitru,holiness
rapto',Habit/custom
po'raakpo'ro',revenge
pratishodh,revenge
prakaash,shining
me'rpul,shining
jo'linchini,shining
nuvini,praise
me'chchini,praise
shlaaghano',praise
bheeka,begging
ghe'd'ivaad,"stubbornness, obstinacy"
duraagraho',"stubbornness, obstinacy"
piratiphola,reward
maayo',illusion
paskat' rhani,backward
bheeti,fear
nuvini,praising
gubugupaaste,friction
buddhi,intelligence
utsaa,refreshness
ge'naat,treasure
ambat',sour taste
pavitru,sanctity
kanyaa,girl upto 12 years
keerti,glory
ve'dur vadini,interview
bheta,difference
mithan,False
no'vapan,Freshness
asooyo',"greed, jealousy"
javaabdaar,responsibility
sahanato',patience
gund'o',rowdy
gund'apan,rowdism
mahimo',greatness
maahaatmo',great soul
mahaan,greatman
mo'mpu,"enjoyment, pleasure"
so'ntu,"enjoyment, pleasure"
yuvati,girl upto 16 years of age
mhud'apan,foolishness
mhud'o',fool
vasuno',fragrance
ghe'nam,respect
me'ngini,Drowsiness
mhud'o',blockhead
mo'rgyaat,respect
phulaste',Blooming/blossom
visur,forgetfulness
ve'kul,confusion
mo'nnu kavlini,confusion
mo'nnu shaanti,peace of mind
baadho',grievance
trupti,fulfilment
paripoornu,fulfilment
manobhaav,Feeling/ attitude
marchini,change
o'rivartano',change
avamaan,disgrace
maan,prestige
gaurav,prestige
ge'ttu,Ostentation/
ko'mbal'apan,Softness/tenderness
tirmaan,decision
paripakvato',maturity
yattan,Attempt/effort
prayattan,Attempt/effort
nhanhaso',smile
mukulhaso',smile
unnati,development
ho'ravni,development
andhavishvaas,blind belief/ superstition
do'vrapan,old age
moorkhapan,rudeness
moorkhu,cruel person
nijavatto',truth
satya vaak,truth
jo'linchini,shine
mrudupan,softness
me'duvupan,softness
mho't't'apan,Greatness/ superiority
met'pan,Greatness/ superiority
shresht'hapan,Greatness/ superiority
moh,infatuation
moh,Cheating/gulling
maun,silence
avaak,silence
yathaarthavaadi,realist
yo'chano',thought
ruchi,taste
vanchano',betrayal
vanchano' ke'rnaar,Betrayer
varnano',description
he'to',grief
vad'jani,fading
graahako',customer
graahi,customer
tonum dho'vl'o',keeping mum
nishabdu,keeping mum
vikaar,ugliness
kuroop,ugliness
vishvaas,faith
vashvaasi,faithful person
aashcharyoo,wonder
virahataap,pangs of separation
phaat',crack
birudu,title
o'ppayini,liking
chatru,enmity
vivaad,argument
rapto',custom
paropakaari,philanthropist
ho'd'ini,growth
dukaal,drought
dukaal',drought
te'rke',awareness
prajnyo',awareness
bissapan,quickness
bisso',quickness
dhairyu,bravery
dhairyavaan,brave man
dhairya stiri,brave woman
bo'd'ni,falling
jaal,irritation
hunnapan,hotness
hunno',hotness
geeg,Success/victory
ugrato',fanaticism
dve'sh,hatred
veg,speed
shok,thirst
koot,fun
khe'l',fun
bhed,difference
vairaagyu,obstinacy
akshar,syllable
akshaantar,coda
visheshano' guni,attribute
taalu sabdu,palatal sounds
harid'i sabdu,palatal sounds
roopavarni,figure of speech
alankaar,figure of speech
roopu nirmaan,structure
bhangi bhaashan,indirect speeeh
parosha bhaashan,indirect speeeh
ardha bindu,colon
aroopa naav,abstract noun
napumsaka lingu,Non-humanneuter
al'l'ingu,Non-humanneuter
shabda avni,derivatives
pumsakaling,masculine gender
dalling,masculine gender
aatmeeyavibhakti,possessive case
so'vve' vibhakta,possessive case
purusa,person
satva vibhakti,locative case
mal'ni sabdu,particle
jo'd'i,pair
prakri'ti,feature
ghaam vatto' desi vatto',native word
todu che'rni,agreement
divna isankhyo',dual number
diva vibhakti,accusative case
divni,dual
vyaakarana bhaakan,grammatical categories
vyaa karana lingagu,grammatical gender
vyaakaran,grammar
vyaakarana sampradaay,grammatical tradition
vyaakarana saasano',grammatical rule
jiye' kaal,past tense
ge kaal,past tense
uchchaaran,pronunciation
jhirkini,glide
o'dat',lip
hot',lip
atisaayotti,hyperbole
ativarnano',hyperbole
poojya pahu vachan,honorific plural
met'u bahu vachan,honorific plural
svaraakshar ajunakshar,vowel
sajeevi,animate
vibhakti chinhun vibhatakti varnakun,markers
bhaasyo',commentary
upamo',simile
anta nirmaan,internal structure
mhaddi tho'vni,infix
ooham,assumption
sankhyo',number
avankaal,future tense
vyatireka sabdu,antonym
vyatirek,negative
ashar,script
lipi,script
karto',subject
aajnyaa,imperative
che'ribandhi,affix
e'kavachan,singular
svaro',"phone, sound"
dhvani,"phone, sound"
uchchaat'anam,pronunciation
reenu vatto',loan word
bharal'a vatto',loan word
khal'l'an vatto',borrowing
kalu,tense
svalpa viraama,comma
nhan ghe'd'i,comma
guri,sign/mark
chinhu,sign/mark
taal'u,rhythm
layo',rhythm
sandhi,sandhi
samsargu,inflectional increment
guri,article
sootru,"formula, rule"
bhaava bhaasho',gesture/sign language
shabdu,word
shabda vyaakarano',morphology
phail purusu,first person
akarmaka kriyo',intransitive verb
sakarmaka kriyo',intransitive
saadhaarana vaakyo',simple sentence
bhaashana vatto',dialectal word
gumpunaav,mass noun
mantu vatto',corrupt word
upa kriyo',auxilliary verb
ve'kkini,selection
samyuktu,compound
ukti vaakyam,phrase
vattaa to'ran,phrase
nirantara kaal,continuous tense
vaakya prakarano',syntax
karmu naav,gerund
reeti,style
charva vibhakti,dative case
chalta kaal,present tense
viraamu chinhu,punctuation marks
laamsvaro',long vowel
aksharaan,alphabet
pratibhaasan,direct speech
dhoor purusu,third person
vaakvihaar,ideogram
kriyaapad,predicate
bahoo vachan,plural
geet,verse
lingu,gender
sakarmaka kriyo',transitive verb
anubandhu,suffix
poorna viraam,fullstop
ho'llaa nirmaan,surface structure
stree lingu,feminine gender
al'l'ingu,feminine gender
sarva naav,pronoun
prati naav,pronoun
visheshan,adjective
saadhaaranalingu,common gender
saadhaarana sabdu,common noun
arthu,meaning
vakrokti,ambiguity
samtehaarthu,ambiguity
sampiradaayu,tradition
rood'hi,tradition
vyakta vatto',allomorph
vyakta svaro',allophone
ardha bindhu,semicolon
musunaa kriyo',incomplete verb
padam,clause
adikaranam,clause
nissande'ha kriyo',finite verb
poorna kriyo',finite verb
ve'durpurusu,second person
divapurushu,second person
agra bantu,prefix
naaku se'ddu,nasal sound
hakaara shabdu,aspiration
svaasam,aspiration
mahaa praanam,aspiration
halun,consonant
he'd'i sankini,quotation
chhantas,prosody
vaakya bhaag,clause
vidhi,rule
prasno',question
prasna guri,question mark
kriyaapadu,verb
kriyaavise'shan,adverb
avyayo',adverb
vibhakti,case
bo'laadhid'o',a kind of pane cake with daals
at'ai,a kind of pane cake with daals
puri,a sweet made out of rice flour
appud'aal,papad
at'kul,flattened rice
kayyaan te'l'ni,a mixed vegetable preparation
ahaar,food
appam,a dosa like preparation made out of rice flour
bhalaar,idly
vil't'iyo',idly
ukkut'um,idly
it'iyaappam,noodles made out of rice flour
ghat'avnal,tender coconut
savnal,tender coconut
chaino',meat
bo'sulo',meat
maamsu,meat
kho'vs,meat
khani,food
khavnam,food
upmaav,upma
kachchambhaa ambat',A kind of mango curry
bijjat',pickle
lo'sht'o',pickle
teelu unt'o',a sweet made of till
ke'nnipe's,rice gruel
go'bbure'ssu,sugarcane juice
ko'd'd'i,dry fish
ke'l'l'u,toddy
sugud',semi-solid preparation with rice or ragi flour
chailatte',"side dish, curry"
chano',flesh or meat
be'nd'uchano',mutton
bo'sulo',mutton
kud'ichano',chicken
dukkaruchano',pork
ko'ruchaino',beef
amt'i,a curry with thick gravy
go'jju,a curry with thick gravy
kut'kiri,a kind of side dish
ambat',a kind of side dish
ambil,a watery preparation with rice or ragi flour
kesari,a sweet prepared with suji
kandulo',an eatable with rice and coconut
mando',fat
chat'ni,chutney
takkaal'i chat'ni,tomato chutney
naral' chat'ni,coconut chutney
putinaa chat'ni,mint chutney
malli chat'ni,coriander chutney
sukkat',dry mutton
chappaatti,chapatti
bhaat,cooked rice
bhaat,meals
annu,meals
sambaar,liquid curry with vegetables
se'ro',arrack
re'ssu,juice
nhankhani,Tiffin
kachche'nno',"an eatable prepared normally with Bengal gram, peas"
sukunt'o',a sweet
limbu bhaat,lemon bath
che'tti bhaat,parcel bath
po'nnin cho'nno' bhaat,Jowar bath
limpubhaat,lemon rice
dhid'ho',dosa
jho'l'l'aa bhaat,jowar bath
dhe'i~,curd
cho'ro',cattle feed
lo'st'o',chutney
teel' lo'sht'o',till chutney
teel'a daal',till chutney
kul'iit daal',horsegram chutney
naral' daal',coconut chutney
be'l'aadaal',bengal gram chutney
putinaa daal',potina chutney
naral' doot,coconut milk
mai,honey
tene',honey
te'ntulo',"sweet prepared out of rice flour, jiggery fried in oil"
t'ee paan,tea leaves
dhid'o',"Dosa, A pan cake with rice and black gram powder"
toop,ghee
ho'llaa khani,snacks
pakkot'o',"an eatable prepared with Bengal gram powder, onion etc."
po'l'l'aa re'ssu,fruit juice
sil'l'a bhaat,previous day
ko'd'uk,previous day
bhajji,bajji
paav,syrup or jelly
pasam,"liquid sweet made out of rice, daal, milk and jaggery"
doot,"milk,"
dootbhed'aa paalko'vaa,sweet made of milk
saay,cream
pit't'u,an eatable made out of rice flour and coconut
bo'sulaa bhaat,biriyani
seesu avnd'i,a curry with tamarind juice added
da_i~ rayto',a curry with curds
ampat' bhaat,cooked rice with tamarind
poonti,a sweet
po'nkal,cooked rice with green gram daal
gul'l'e' po'ngl,sweet poŋgal
muddaa po'ngl,Poŋgal with green gram daal and ghee
ke'ral,rice-fried
gul'l'e' pe'raal,sweet rice fried
kaylo' ke'sur,fried vegetable /meat
po'l't'ini,fried vegetable /meat
po'l't'e' chano',fried vegetable /meat
pont'aa,bonda
bol'i,a sweet
markaylaa burko',red chilly powder
mhal'i amt'i,fish curry
ant'aa amt'i,egg curry
and'aa dhid'o',egg dosa
chayli,an eatable with rice and gram flour
te'ntulo',an eatable with rice and gram flour
achchu te'ntulo',murukku prepared by machine
haatu te'ntulo',murukku prepared by hand
anujnyo',licence
anumatiptru,licence
dhamad'naar,driver
do'vt'unaar,driver
o'nt'ya po'guvaat',one way traffic
gaay bo'nd'i,bullockcart
nauko',ship
gho'daa bo'nd'i,Horse cart
bhaar tukakunaar,porter
bho'nnam,goods
samaan,laggage
maargu,road
re'sto',road
yaatraa cheet',ticket
bhaar bo'nd'i,lorry
maakrum,route
dand'avaalam,rails
chalni mit't'o',platform
nauko' hibbanre'm,harbour
to'ran gusht'i,train
panchali,boat
panchal,boat
laat'kit'ki,anchor
chalad'naar,conductor
but'an nau,submarine
nitta vaat',direct route
naav,boat
yaatro',journey
yaatrikun,passengers
yaatro',Journey
yaatrin,Passenger
raiyil bo'nt'i,train
raiyil bo'nd'i,railway station
hippan thaam,railway station
bas,bus
bas sthal,bus stand
avni jani,transport
go'rubo'nt'i,bullock cart
panyaBchulaa bo'nt'i,cycle
vidyutto'ran gusht'i,electric train
yaatraa,journey
bo'nt'i,vehicle
bo'nd'i,vehicle
akaash gusht'i,aeroplane
akaasu yaan,aeroplane
ghoot'u bo'nt'i,covered cart
akaashgush.t'i rem,aerodrome
akaashgusht'i saarati,pilot
veku gusht'i,express bus
be'y,elder sister
dado',elder brother
bhavi,elder brother’s wife
bhavo',brother in law
phui~,aunty
ammo',father’s mother
bo,father
baap,father
ambo',mother
ajji,mother`s mother
ajji ambo',grand mother`s mother
kaam ke'rttin,Care taker
se'nto'jin,brothers and sisters
baibe'yne'n,brothers and sisters
bandhuje'naan,relatives
ostun,relatives
bandupan,relationship
o'stu,relationship
de'vrani jhe'd'anin,Co-sisters
dallo',husband
pati,husband
bharto',husband
ambulo',husband
pillo',child
baal'u,child
nhuru,child
baa ajjo',great grand father
baa ajji,great grand mother
po'n natini,grandson`s daughter
po'nnatte',grandson`s son
de'var,husband
ne'nantu,wife`s younger sister
nendu,wife`s younger sister
so'vat,co-wife
se'rgut',co-brother
sad'gut',co-brother
se'nko' uje'ste'no',brother
bhai,brother
se'nko' uje'stino',sister
bhe'yn,sister
ve'sinti,relatives by marriage
ve'sintin,relatives by marriage
nhannabo,father’s younger brother
kako',father’s younger brother
mausi,"mother`s younger sister, stepmother"
nhannambo,"mother`s younger sister, stepmother"
bhe'yn,younger sister
baiy,elder brother
be't'o',son
ayyo,grandfather
ammo',mother
ajjo',great grand father
tallo,husband
anker bo',grandfather
ankerambo',mother`s mother
be'yl,wife
bail,wife
bhaari,wife
bhaariyo',wife
sati,wife
mho't't'a bo,father`s elder brother
mo't't'am bo,mother
maaybaap,parents
ambo' bo,parents
natini,grand daughter
natte',grand son
be't'i,daughter
sal'o',brother - in - law
bho'vnt'i,daughter in law
jo'mai,son in law
be'yl,sister
mamo',uncle
so'suro',father in law
mami,aunt
sasu,mother in law
anguso',iron rod of mahout
mudranasaalo',printing press
nimpini,printing
mudrano',printing
nimpinivaan,printer
mudrano' ke'rnaar,printer
patravaahako',post man
patravaaho',post man
le'khuvaan,post man
vaalvu,valve
jhagi hugud'aav,valve
varid'o',barber
vayad'e',barber
ninaav ke'rnaav,file
katko',sickle
kakko',sickle
phasal kat'aste',harvest
ho'd'ayt,carpenter
aani,nail
it'ki,tongs
gavri,shepherd
go'llarin,shepherd
go'vli,shepherd
gavru,shepherd
go'vlo',shepherd
samyojako',co-ordinator
aasano',seat
peet'ham,seat
nivaarano',compensation
taat,fibre
taak,fibre
urvaro',fertilizer
uro',fertilizer
dhuld'o',cylinder
toor,cylinder
kasavt'i,touch stone
go'sunaavu de'yd'o',touch stone
chullo',fire place
junatnaar,farmer
nangunaar,farmer
karshnaar,farmer
krushi,farmer
t'anku,chisel
sivi,needle
phunal'i,blow pipe
thetu sattu,manure
sen,manure
kat'i de'vsini,grafting
mil'ad'ni,grafting
singarlini,make up
dho'ni panjeekarano',sound recording
dho'ni dhe'rni,sound recording
roopu panjeekarano',photography
roopu dhe'rni,photography
do'vd'unaar,driver
saaradhi,driver
doni,boat
navko',boat
ke't't'o',bale
ke't't'e' panchal,catamaran
ke't't'e' roop ke'rni,shaping of wood
gamji,supervise
gamchunaar,supervisor
sood' hanaste',thrashing grains
dhe'ndyaav,sulpher
naavi,ship
taar,ship
rhe'd'o',pulley
upakarano',tools
naguno',plough
halo',plough
paatro',container
sood'u thaam,thrashing floor
ghanamiti,volume
kaylake'suru ke'ri,vegetable vendor
se'pini,chappal
pavkal,chappal
pavsul,chappal
daarvaan,watchman
chavkeedaar,watchman
polees,policeman
kavalke'ro',policeman
thanait,policeman
vid'gyaa ushl'o',kiln
chunnaa ushl'o',kiln
joonatvaan,farmer
khumbaar,potter
ko'rat',plier
put'ki,basket
pat'i,basket
kooli,"coolie, wage"
koolike'ri,coolie
haatukaam,handicraft
sahaayako',helper
sigud'o',helper
haatu o'ro',gloves
haatu kaam,handicraft
ko'lki,hook
samt'aav,hook
ravulu bheet,rampart
lavri,mason
khed',boiler
parasu,axe
che'kkar,wheel
se'nkal',chain
samooha sevo',social work
handav ke'ro',cook
handav ke'rin,cook
chaat'o',whip
saan,shar pening stone
saamano',"tongs, pincer"
re'ngu,dye
vid'i,window
silpu,sculpture
t'hanknaar,sculptor
silpi,sculptor
silpakaar,sculptor
phirvat',rudder
chunno',lime
suttiyal,hammer
moor,hammer
bhaartukkunaar,porter
ushlo',kiln
pe'nghano',oil press
che'nt'e' vaatyam,drum
mhal'aytu,fisherman
mhal'_ivaan,fisherman
mhal'iike'ri,fisherman
se'kkuluvaan,cobbler
kaaryatarsi,secretary
josyam,astrology
sosi,astrologer
te'gad',sheet/
so'naaru,goldsmith
kasaar,goldsmith
leguvaan,Postman
tapaalke'ro',Postman
te'rkal'i,broker
te'rak,brokerage
dho'nd'o',drum
do'bban gusht'i,trolley
mago',loom
kuskankhat't'i,spur
dikku de'kkad'aav,compass
dikku darsini,compass
dikku soochani,compass
bhikungchunaav,screw driver
navkaa dand'u,oar
navdand'u,oar
po'snaav,duster
phuvno',blower
phuvnaav,blower
put't'aa heer,borewell
put't'o' tagaste',drilling
tukkan e'ntura,crane
dookkudor,execution rope
tookku mit't'o',gallows
mhal'i dhe'rnaav,fishing rod
maimahi ho'vd'ini,bee keeping
seev,stitch
simpi,tailor
sumpini,tailor
sivni yantur,sewing machine
udyog,Profession/ labour
udyogi,Profession/ labour
laanuvaan,gardener
laan,garden
o'd'd'e',scavenger
suddhi ke'rnaar,scavenger
doni,ferry
ke'shan,leather
so'nnaavanik,jeweler
sthrike'ran upakarano',anchor
chaltakaranvaan,conductor
ghalni,planting crops
naachvaan,dancer
nat'anaal'i,dancer
nachvo',actor
nat'i,actor
nachvi,actress
nat'iko',actress
bhaavano',action
narttako',dancer
narttaki,dancer
navachaar,ammonia
nat'kamke'ri,drama actor
nat'kam al'i,drama actress
navko',Barge/yacht
sasyaro'hana re'm,plantnursery
nirvaahi,administrator
kho'l'che',coal
paasano',irrigation
pani sinchano',irrigation
uspuvaav,pump
yo'k bhandano',yoke
nago',yoke
taak,thread
do'ri,thread
kadunaar,spinner
kadaste',spinning
vinkar,weaver
vinaste',weaving
ukkiso'nni,lever
uttolako',lever
po't't'e't',workshop
kaamu sthal,workshop
kaamu thaam,workshop
panyaBchal,boat
jeevaashmo',fossil
silaadhaatu,fossil
patru,form
saalo',farm
kaam,work
sampaatako',editor
nauko',coracle
nutu,season
daat che'kkur,gear
po'lko',wooden plank
palko',wooden plank
bhaar tukkunaav,crane
ahitund'iko',snake charmer
saapuvasako',snake charmer
nav maarga chaalana,mast
nav niyantrana pat'o',mast
daar,ship
nauko',boat
pangchal,coracle
vatte',coracle
go'nam,petticoat
palo',halfsaree
e'mu vastar,bra
e'mu bandhiko',bra
langaBgot',loin
kasht'i bo't't'o',loin
hemuvastar,banian
khanaav,crowbar
ge't'baaro',crowbar
dootke'ro',milkman
dootke'rin,milkmaid
tani,warp
gumpini,knitting
ve'ni,knitting
mit't'o',pedestal
pheet'ham,pedestal
pipaay,barrel
phoolke'rin,florist
habbu naasini,pesticide
krumi naasini,pesticide
put't'alu kud'o',water sprayer
so'naar,goldsmith
samasani,carpenter`s square
nhinaav ke'raav,Leveler/smoothener
mantivaati,magician
vo'ydin,folk doctor
vo'ydu,folk doctor
bavlam,soapstone
addi bhaar,overweight
addi bisso',overspeed
pe'li bisso',overspeed
te'lni,float
vidyut gaid'i,battery
mhalike'ro',fish seller
mhalivaan,fish seller
mhalike'rin,fish seller
mhalivati,fish seller
chigur,sprout
ankur,sprout
anguro',sprout
bigingchunaav,spanner
nirvaahi,manager
kaam khat'naar,manager
dho'nd'o' ke'ri,drummer
tanaa re'd'o',spinning wheel
re'd'o',spinning wheel
charkaa re'd'o',spinning wheel
po'rat'in,Washer woman
po'lt'in,Washer woman
ko'rat',Cutting plier/wrench
phirud'aav,screw driver
muro',hammer
po'rat',washerman
po'l't'o',washerman
biyaar,business
biyaarchaar,business
vanee,businessman
vanik,businessman
pe'yr,field
ke't,field
jaal,net
o'lo',net
vaat'de'khkat'naar,guide
maargadarsak,guide
che'kkur,loop
chhe't,sword
bee,seed
beej,seed
eemu,seed
beettu,seed
beekghalni,sowing
bhiyaar,business
bhiyaarsaar,business
vani,businessman
junnatvaan,farmer
nangunar,farmer
peek,yield
pikkini,yield
pikke'yo',yield
prakat'naar,publisher
prasuro' ke'rnaar,publisher
bharaat' so'd'naar,publisher
aakhe't',hunting
mri'gayo',hunting
vet'o' khal'ni,hunting
aakhe't'uvaan,hunter
vet'o' khal'naar,hunter
kaam,Work
kaam ke'rtto',Servant
kaam ke'rttin,Servant
vo'ytu,Folk doctor
josut'u,astrologer
chit't'idivo',small earthen lamp
tinnal',festival
kainkaryadaan,village temple festival
sudaan,village temple festival
cho'kdaan,village temple festival
divali,diwali
to'ran,arches with leaves
o'gat,religious fasting
vishe'sh,festival
po'nkal se'nnu,a harvest festival
makara sankraanti,a harvest festival
angam,organ
baadam,sole
hirid'i,palate
po'kkal,hip
daira haat,left hand
dakuna haati,left hand
ket',waist
gund'o',heart
ro'ppo',eyelash
re'gat,blood
hrudayu,heart
gund'e',heart
til'ji,liver
hrud'i,gum
tal'u,crown
aanku,body
se'rir,body
tanu,body
aangu,body
hut't'o',saliva
jeernu dravyu,saliva
paadam,sole of the foot
tal'apaai~,sole of the foot
tal'ahaat,palm
hoot't'o',spit
hat'ko',bone
hat'kaa good',skeleton
do'l'o',eye
do'l'aam pani,tears
papo',pupil of the eye
gud'gaal,ankle
palt'i,ankle
ge'l'o',neck
kanasul,cheek
gavlo',cheek
gapulo',cheek
gaalu,cheek
kaan,ear
paai~,leg
kri'taa,whiskers
khalu o'dad',lower lip
antro',intestine
so'maan,intestine
gant'ri,buttocks
jut't'i,tuft
pal't'i,heel
ghad'i,adam
bo'mbi,Navel
naabhi,Navel
khes,long hair on head of woman
haat,hand
ko'nd'e',hair-do of woman
kho'bo',hair-do of woman
je't'o',matted hair
ve'ni,plaited hair
ke'nt'o',muscle
nhanna antaro',small intestine
moota,urine
vanni,urine
kil'angal'ii,little finger
darjani angil'i,Index finger
gurdu angil'i,Index finger
do'sko',head
kapaal,skull
chinhu,scar
ad'o',vagina
gul'l'u,penis
go'to',penis
vintul,penis
pijaavu,penis
daad'i,beard
cheepu,jaw
sareer,body
mad'i,thigh
angam,thigh
ghad'i,throat
bo'jje',big belly
ke'san,skin
ke'nd'o',skin
khaandu,shoulder
re't't'e',shoulder blade
ne'kku,nail
ne'ram,nerve
jeep,tongue
re'gatdhunkal,pulse
naad'i,pulse
kavlo',chin
vani,complexion
ko'vso',lungs
hem,chest
kapaal',forehead
daat,tooth
pagul,foot
pabini,eyebrow
pavni,eyebrow
antiro',large intestine
hagunt'o',thumb
gabaal',temple
mad'i,lap
angam,lap
kankuro',wrist
mo'chcho',mole
khesh,hair
majjo',marrow
musin,moustache
musungu,moustache
ton,face
moot',fist
gut'ko',knee cap
mund'o',trunk
paat',back
paat'uhat'ko',backbone
dudtu,breast
doot ho'vi,breast
gut'ko',knee
che'mmar haat,elbow
kho'bo',elbow
naak,nose
naaguput't'o',nostril
bhandi,joint
me'dud',brain
mastisko',brain
bhidut',brain
unchaa o'tat',upper lip
mo't't'e',shaven head
mo'l'i,elbow
mutdi ankil'i,ring finger
cheepu,chin
bhaangu,Split line of hair
gumpini,parting of hair
pot',stomach
jaina haat,right hand
je'runa haat,right hand
ton,mouth
se'ko',sweat
ankil'i,finger
po'kko',sides of the chest
po'kko' hat'ko',ribs
anchu vagati,suppression
anyaav,injustice
akramo',injustice
ad'at,injustice
ad'aat,injustice
aaneed'i,injustice
aparaadh,fine
amal,"in force, implement"
paripaalano',"in force, implement"
re'chchakoot,pandemonium
araajakato',pandemonium
alaho',pandemonium
aajnyo',order
uttar,order
aajnyaakaar,commissioner
adhaar,evidence
ruju,evidence
sodhano' ke'rnaar,inspector
so'dhunaar,inspector
aydupal'o',armed force
se'na,armed force
aayusde'nd'ano',life imprisonment
aarbhaat'o',uproar
re'chchaa re'chcho',uproar
patro',record
dastaave'j,record
bhaarata dand'anaa saasano',Indian Penal Code
sankam,movement
samstaan,movement
kulanaas,genocide
uchcha nyaayaalayo',Supreme Court
upavaas,hunger strike
unchaa nyaayaalayo',High Court
ichchaa patru,will
anumatibillo',licence
baadyato',licence
baadyato',right
adhikaar,right
chaarano',spy
ghoot'achaari,spy
kartav,duty
kartavyo',duty
kaaraakaar,rigorous imprisonment
kaaraaghe'r,rigorous imprisonment
khe'd'inu kaaraakaar,rigorous imprisonment
ghe'nam,dignity
do'l'aam dhoom,tear gas
kavaat' jhagini,lock out
band,lock out
raul'i,mutiny
kalagam,mutiny
galaat't'aa,disturbance
gaam nisabdu saasano',curfew
mo'sakaar,cheater
ho'ngad'naar,cheater
vipakshuvaan,opposition cadre
tokupakshuvaan,opposition cadre
lukjaani,spy
chaar,spy
kat'chike'ro',client
pakshuvaan,client
che'ttar,order
nemo',discipline
s_o'd'd'i,thief
thanaa sthala rakshini,police custody
thanaa rakshini,police custody
thanaa vibhaag,police department
thanaa sthal,police station
ke'llal,"mocking, teasing"
raud'i,goonda
kund'u,bomb
gho'd'aa sainyu,mounted police
kumpu,crowd
lumpl'o',confusion
aparaadh,crime
aparaaghi,"culprit, the accused"
avd'aa vichaarano',cross question
kaidi,prisoner
bandi,prisoner
kaaraa gupto',prisoner
kaidu,arrest
bandike'rni,arrest
ke'llalko',"Mocking,trasing"
mo'rat'aste',murder
mo'rad'naar,murderer
hanto',murderer
ghaati,murderer
kapat'u khinchini,decoity
kapat'u khinchunaar,decoit
kumpu,group
saasana sankal'ano',code
saasana sankalano',code
saasano',law
bho'gumaa,prize
saakshi,witness
pakshu,favour
saadako',favour
saalaa vidhin,traffic rules
piskal,problem
pusko',problem
chitra vadho',torture
kaaraaghe'r,"jail, prison"
sosano',exploitation
kunugini,exploitation
viloot'h,plunder
hanimaar,plunder
vilut'hano',plunder
aasti,property
so'ttu,property
te'kuraal,dispute
thanaala laid'aa hanni,lathi charge
hibbaad'u aajanyo',"prevention order, stay order"
nirodh aajnyu,"prevention order, stay order"
de'nd'ano',punish-ment
hor,side
svaya rakshano',self-defence
cho'r,theft
teerpu,judgement
nirnayo',judgement
igravaati,extremist
luk jannar,detective
soochano',clue
t'uppu,clue
doru dand'aano',hanging punishment
ho'rukriyo',action
soochaal,good conduct
cho'k chalni,good conduct
sat chalni,good conduct
niyaav,justice
niyaayasthalo',court
viroda,enmity
bho'gumaan,prize
pratikool,adverse effect
rakshano',"protection, defence"
pirativaadi,defendent
satyapramaan,oath
piramaan,oath
kunt'u,error
kalaha sthiti,"agitation, struggle"
nakal,duplicate
mo'ranu dand'ano',death sentence
paila o'ydapan,first aid
mo'rat'u,rowdy
dhikkini,clash
vaaduke'rnaar,advocate
vaadunaar,advocate
daavo',case
vadignjaani,advocate
vakkeel,advocate
ugra kriyo',violence
donu vaak,statement
aadaaru vaachu,statement
vaadi,plaintiff
phirva khal'l'aste',withdrawal
vaapas khal'l'aste',withdrawal
kaidu patro',warrant
vichaarano',enquiry
bharaat'a so'd'ni,release
niyamo',rule
bandh,strike
jameen,bail
dallo',male
je'no',person
javno',Youth/ youth stage
no',Youth/ youth stage
javnapan,Youth/ youth stage
yauvano',Youth/ youth stage
javno',young man
javni,Younger woman
nhanno',Younger man
ghe'rvaar,pregnancy
ghe'vraar,pregnancy
ghe'rvarin,pregnant woman
ghe'vrarin,pregnant woman
kanyo',virgin­
do'vro',old man
do'vri,old woman
pillo',young one of birds
pillo',young one of animals
kumaaro',unmarried young man
kumaari,unmarried young girl
nhukru,child
nhurupan,childhood
baalyapan,childhood
baalyam,childhood
nhanni,child­
nhanni,girl
nhanno',boy
praayam,stage
baalapraayam,young stage
baal'un,young children
o'rsu,"age, stage"
