alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
தோஸ்,tOs,உச்சி,Top,,,,,tree-parts,corpus_sourashtradictionary
சுப்டொ,cupTo,பருத்தி / பஞ்சு,Cotton,,,,,tree-parts,corpus_sourashtradictionary
"கபுஸ், கபு3ஸ்","kapus, kabus",பஞ்சு,Cotton,,,,,tree-parts,corpus_sourashtradictionary
சந்தி3,candi,இலவம் பஞ்சு,Silk Cotton,,,,,tree-parts,corpus_sourashtradictionary
பு3ஸ்கொ,busko,கழிவு நூல்,Waste yarn,,,,,tree-parts,corpus_sourashtradictionary
பு3ஸொ,buso,மேல் ஓடு,Shell,,,,,tree-parts,corpus_sourashtradictionary
கேலு தோமு,kElu tOmu,வாழைக்குலை,Banana Bunch,,,,,tree-parts,corpus_sourashtradictionary
நரெளு தோமு,nareLu tOmu,தென்னம்பாளை,Coconut flower,,,,,tree-parts,corpus_sourashtradictionary
மொட்டொ,moTTo,தென்னை மட்டை,"Coconut bat, Petiole",,,,,tree-parts,corpus_sourashtradictionary
பே2பு,phEpu,தென்னை மட்டை,"Coconut bat, Petiole",,,,,tree-parts,corpus_sourashtradictionary
பே2வு,phEvu,தென்னம்பாளை மடல்,Coconut flower spathe,,,,,tree-parts,corpus_sourashtradictionary
கு2ரி,khuri,தேங்காய் ஓடு,Coconut shell,,,,,tree-parts,corpus_sourashtradictionary
வாலு,vaalu,தேங்காய் மட்டை,Coconut husk,,,,,tree-parts,corpus_sourashtradictionary
கௌனல் பனி,kaunal pani,இளநீர் தண்ணீர்,Tender Coconut water,,,,,tree-parts,corpus_sourashtradictionary
நரெளு பே2பு,nareLu phEpu,தேங்காய் மட்டை,Coconut husk,,,,,tree-parts,corpus_sourashtradictionary
நரெள்பெ3ளொ,nareLbeLo,தேங்காய் பருப்பு,Coconut Fruit,,,,,tree-parts,corpus_sourashtradictionary
நரெளு கோரு,nareLu kOru,தென்னை நாற்று,Coconut seedling,,,,,tree-parts,corpus_sourashtradictionary
நரெளு கோ4லு,nareLu ghOlu,தென்னங்குலை,Bunch of coconuts,,,,,tree-parts,corpus_sourashtradictionary
மோகு,mOku,தென்னை நாற்று,Coconut sapling,,,,,tree-parts,corpus_sourashtradictionary
தே4கு,dhEku,தென்னங்கன்று,Coconut seedling,,,,,tree-parts,corpus_sourashtradictionary
தா4ரு,dhaaru,தென்னை அரும்பு,Coconut bud,,,,,tree-parts,corpus_sourashtradictionary
காண்டு3,kaaNDu,இலைத் தண்டு,"Rachis, Stem of a leaf",,,,,tree-parts,corpus_sourashtradictionary
பருடொ3,paruDo,தென்னை ஓலை,Coconut fronds,,,,,tree-parts,corpus_sourashtradictionary
பருண்டொ3,paruNDo,பின்னிய தென்னை ஓலை,Woven coconut leaves,,,,,tree-parts,corpus_sourashtradictionary
பரண்டொ3,paraNDo,தென்னங்கீற்று,Dried Coconut Leaf,,,,,tree-parts,corpus_sourashtradictionary
சே2வு,chEvu,பின்னிய தென்னை ஓலை,Woven coconut leaves,,,,,tree-parts,corpus_sourashtradictionary
பூ3ர்,boor,ஓலைக்கயிறு,Palm leaf rope,,,,,tree-parts,corpus_sourashtradictionary
கோ3ன்,gOn,தேங்காய் நார்,Coir,,,,,tree-parts,corpus_sourashtradictionary
தேமு,tEmu,நீரா பானம்,Coconut sap,,,,,tree-parts,corpus_sourashtradictionary
ஶெக்கெ,ssekke,கழிவு நார்,Waste fibre,,,,,tree-parts,corpus_sourashtradictionary
பி2ப்பி,phippi,தூசி துகள்கள்,Dust particles,,,,,tree-parts,corpus_sourashtradictionary
வ்ருத்3தி3,vruddi,வளருதல்,Growing up,,,,,tree-parts,corpus_sourashtradictionary
அளொ,aLo,பாத்தி,Garden plot,,,,,tree-parts,corpus_sourashtradictionary
க2டொ,khaTo,முள்,Thorn,,,,,tree-parts,corpus_sourashtradictionary
பொல்கொ,polko,"மரக்கட்டை, பலகை","Wood, Board",,,,,tree-parts,corpus_sourashtradictionary
து4ம்டொ,dhumTo,"மரக்கட்டை, தடி","Wood, Staff, Stick",,,,,tree-parts,corpus_sourashtradictionary
கெட்டெ,keTTe,கட்டை,Stick,,,,,tree-parts,corpus_sourashtradictionary
ஜிட்3டு3,jiDDu,பிசின்,Resin,,,,,tree-parts,corpus_sourashtradictionary
லைரஸ்,lairas,முளைத்துள்ளன,Germinated,,,,,tree-parts,corpus_sourashtradictionary
ஶிரத்தெ,ssiratte,உதிர்தல்,Shedding,,,,,tree-parts,corpus_sourashtradictionary
லலத்தெ,lalatte,உதிர்தல்,Shedding,,,,,tree-parts,corpus_sourashtradictionary
ஜுணன் நிகுலை,juNan nikulai,காய்க்கத்தொடங்கும்,Starts bearing fruit,,,,,tree-parts,corpus_sourashtradictionary
கைலொ லைனா,kailo lainaa,காய் காய்க்காது,Will not yield fruit,,,,,tree-parts,corpus_sourashtradictionary
நீடொ3,neeDo,நிழல்,Shadow,,,,,tree-parts,corpus_sourashtradictionary
சை2லொ,chailo,நிழல்,Shadow,,,,,tree-parts,corpus_sourashtradictionary
முர்க்3யம் கே2ஸ்,murgyam khEs,சவுரிமுடி,Wig made of human hair,பெ3ய்லன் முர்க்3யம் கே2ஸுக் வெணி ஸெரொ ப4ந்து3லஸுன்,beylan murgyam khEsuk veNi sero bhandulasun,பெண்கள் சவுரி முடியை ஜடையுடன் பின்னுவார்கள்,Women wear the wig hair with braids,ornament,corpus_sourashtradictionary
குச்சு,kuccu,குஞ்சம்,"Tassel, A decorative item like a cloth ball",வெணி கொனாம் குச்சு ப4ந்து3லனு,veNi konaam kuccu bhandulanu,பின்னலின் முனையில் குஞ்சம் கட்டிக்கொள்வார்கள்,A tassel is tied at the end of the braid,ornament,corpus_sourashtradictionary
பூ4ஷொ,bhoosho,நகை,"Jewel, Jewelry",எல்லெ சித்ரு மொரெ செர்ச்சினிம் பூ4ஷனொ,elle citru more cerccinim bhooshano,இந்த ஓவியம் என் சேகரிப்பின் நகை,This painting is the jewel of my collection,ornament,corpus_sourashtradictionary
ஸொம்மு,sommu,நகை,"Jewel, Jewelry",மென்க்யான் ஸொம்முனுக் மெனி ஜு2க்கு ஹன்னவ் வேஸ் கெரராஸ்,menkyaan sommunuk meni jhukku hannav vEs keraraas,மக்கள் நகைகளுக்காக நிறைய பணம் செலவழிக்கிறார்கள்,People spend lot of money on jewels,ornament,corpus_sourashtradictionary
பூ4ஸுன்,bhoosun,"பூஷணம், ஆபரணம்","Ornament, Jewelry",பூ4ஸுன் கௌதுக் வேன் கெரஸு,bhoosun kautuk vEn kerasu,நகைகள் அழகை கூட்டுகிறது,Jewelry adds beauty,ornament,corpus_sourashtradictionary
ஆப4ரணொ,aabharaNo,"பூஷணம், ஆபரணம்","Ornament, Jewelry",பெ3ய்லன் ஆப4ரணொ க4ல்லிகின் விஶேஷுக் அவனு,beylan aabharaNo ghallikin vissEshuk avanu,பெண்கள் நகை அணிந்து விழாவுக்கு வருவார்கள்,Women come to the function wearing jewelry,ornament,corpus_sourashtradictionary
ஜெட்3பு3ளொ,jeDbuLo,"ராக்கொடி, ஜடை பில்லை, ஜடை வில்லை",Bridal Hair Jewelry,தொ3ஸ்காம் பஸ்கட் ஜெட்3பு3ளொ தொ2வன்,doskaam paskaT jeDbuLo thovan,தலையின் பின்புறத்தில் ஜடை வில்லை வைப்பார்கள்,The jedbulo is placed at the back of the head,ornament,corpus_sourashtradictionary
தொரன்,toran,ராக்கொடி தொங்கல்,Hair Brooch Clip,தொரன் பா4ங்கு3 ஹொல்லொ தகன்,toran bhaanggu hollo takan,ராக்கொடி மாட்டல் வகிட்டின் மேல் போடப்படும் நகை ஆகும்,Thoran is an ornament placed on the hair parting,ornament,corpus_sourashtradictionary
ஸுரிது பி3ந்து3,suritu bindu,சூரிய பிறை,Sun shaped hair jewel,ஸுரிது பி3ந்து3 தொ3ஸ்காக் ஜைனொ பொகட் தொ2வன்,suritu bindu doskaak jaino pokaT thovan,சூரிய பிறை நகையை தலையின் வலது பக்கம் வைப்பார்கள்,Sun jewel is placed on the right side of the head,ornament,corpus_sourashtradictionary
செந்தா3மு பி3ந்து3,cendaamu bindu,சந்திர பிறை,Moon crescent shaped hair jewel,செந்தா3மு பி3ந்து3 தொ3ஸ்காக் தை3ரொ பொகட் தொ2வன்,cendaamu bindu doskaak dairo pokaT thovan,சந்திர பிறை நகையை தலையின் இடது பக்கம் வைப்பார்கள்,A crescent moon necklace is placed on the left side of the head,ornament,corpus_sourashtradictionary
பி3ந்தி3,bindi,பொட்டு,Beauty mark,கபா3ல்டு3 ம்ஹத்3தி3 தொ2வரியொ பி3ந்தி3 ஹிந்து3 தெ4ருமு லெக்ஷன்,kabaalDu mhaddi thovariyo bindi hindu dherumu lekshan,நெற்றியின் மையத்தில் வைக்கப்படும் பொட்டு இந்து மதத்தின் சின்னம்,Bindi placed in the center of the forehead is a symbol of Hinduism,ornament,corpus_sourashtradictionary
பிம்ப3ளம்,pimbaLam,"நெத்திச்சுட்டி, நெற்றிச்சுட்டி",Forehead Jewel,பிம்ப3ளம் மெனரியொ கபா3ல்டு3ர் லொம்ப3ரியொ ஸொம்மு,pimbaLam menariyo kabaalDur lombariyo sommu,நெத்திச்சுட்டி என்பது நெற்றியில் தொங்கும் நகை,Pimbalam is a jewel that hangs on the forehead,ornament,corpus_sourashtradictionary
மிர்கான்,mirkaan,காது மாட்டல்,Side Ear chain,மிர்கான் மெனரியொ கானும் ஸொவ்ண்டல்லரியொ ஸொம்மு,mirkaan menariyo kaanum sovNTallariyo sommu,காது மாட்டல் என்பது காதுகளில் மாட்டிக்கொள்ளும் நகை,Mirkan is a jewelry worn over the ears,ornament,corpus_sourashtradictionary
தவ்னட்,tavnaT,"கம்மல், காதணி","Ear Stud, Earring",அஸ்கி பெ3ய்ல்மெனின் தவ்னட் க4ல்லனு,aski beylmenin tavnaT ghallanu,அனைத்து பெண்களும் காதணிகளை அணிவார்கள்,All girls wear earrings,ornament,corpus_sourashtradictionary
தர்மட்3,tarmaD,தோடு,"Ear Stud, Earring",தர்மட்3 ஜு2கு3 ரூபுனும் அப்3ப3ரஸி,tarmaD jhugu roopunum abbarasi,பல்வேறு வடிவமைப்புகளில் காதணிகள் கிடைக்கின்றன,Earrings are available in various designs,ornament,corpus_sourashtradictionary
ஸொரெ,sore,கம்மல் தண்டு,Stud's stem,"தவ்னடு ஸொரெ தெ3ள்கொ ர்ஹியெத், தெல்லெ தய்லத்த வேள் து3க்காயி","tavnaTu sore deLko rhiyet, telle taylatta vEL dukkaayi","கம்மல் தண்டு பெரியதாக இருந்தால், அதை அணியும் போது வலி ஏற்படும்","If the shaft of the stud is too big, it will be painful to wear it",ornament,corpus_sourashtradictionary
பி3ல்லொ,billo,கம்மல் வில்லை,Washer,பி3ல்லொ தவ்னடுக் கெ4ட்டி தெ3ல்லஸு,billo tavnaTuk gheTTi dellasu,வாஷர் காதணியை இறுக்கமாகப் பிடிக்கிறது,The washer holds the earring tightly,ornament,corpus_sourashtradictionary
திர்க்கணி,tirkkaNi,திருகாணி,Stud's screw,தவ்னட் தி4ல்லொ பொட்னாத்தக் ர்ஹாத்தொ திர்க்கணி நுக3ஸு,tavnaT dhillo poTnaattak rhaatto tirkkaNi nugasu,காதணிகள் தளர்ந்துவிடாமல் இருக்க திருகாணி பயன்படுத்தப்படுகிறது,Screw is used to keep the earrings from loosening,ornament,corpus_sourashtradictionary
ஸாலு குந்த3ளம்,saalu kundaLam,குழந்தைகள் அணியும் கம்மல்,Ear Stud worn by Kids,பில்லல்னு கானும் ஸாலு குந்த3ளம் க4லனு,pillalnu kaanum saalu kundaLam ghalanu,குழந்தையின் காதில் சிறிய கம்மலை அணிவிப்பார்கள்,A small earrings is worn in the child's ear,ornament,corpus_sourashtradictionary
குந்த3ளம்,kundaLam,பெண்கள் அணியும் கம்மல்,Ear Stud worn by Women,ஒந்துனுன் குந்த3ளம் க4ல்லனு,ontunun kundaLam ghallanu,பெண்கள் கம்மல் அணிவார்கள்,Women wear Kundalam in ther ear,ornament,corpus_sourashtradictionary
பொங்கு3ளொ,pongguLo,ஆண்கள் அணியும் கடுக்கன்,Ear Stud worn by Men,த3ல்லமெனின் கானும் பொங்கு3ளொ தய்லனு,dallamenin kaanum pongguLo taylanu,ஆண்கள் காதில் கடுக்கன் அணிவார்கள்,Men wear Pongulo in the ear,ornament,corpus_sourashtradictionary
ஜு2ங்கள்,jhungkaL,ஜிமிக்கி,Fancy Ear drops,ஜு2ங்கள் ஸ்த்ரீனு ஸிங்க்3யார் வேன் கெரயி,jhungkaL streenu singgyaar vEn kerayi,ஜிமிக்கிகள் பெண்களின் அழகை அதிகரிக்கும்,Fancy earrings enhance the beauty of women,ornament,corpus_sourashtradictionary
நாகுதளொ,naakutaLo,மூக்குத்தி,Nose Stud,அளின் ஜைனொ நாகு3ம் வஜ்ஜிரு நாகுதளொ க4ல்லனு,aLin jaino naagum vajjiru naakutaLo ghallanu,பெண்கள் வலது மூக்கில் வைர மூக்குத்தி அணிவார்கள்,Women wear a diamond nose ring on the right nose,ornament,corpus_sourashtradictionary
முக்குர்,mukkur,முக்கோண மூக்குத்தி,Old fashioned Nose Stud,முக்குர் ஒண்டெ கலமு நாவ்பொட3யொகன் ஹொதெ3ஸ்,mukkur oNTe kalamu naavpoDayokan hodes,முக்கோண மூக்குத்தி ஒரு காலத்தில் பிரபலமாக இருந்தது,Triangular nosering was popular once,ornament,corpus_sourashtradictionary
பி3ல்லாக்கு,billaakku,மூக்கணி,Nose Pendant,பி3ல்லாக்கு க4ல்லத்தெ ஹிந்தா3 ரீதி,billaakku ghallatte hindaa reeti,மூக்கணி அணிவது இன்றைய பாணி,Wearing nose pendant is style these days,ornament,corpus_sourashtradictionary
பே3ஸ்திரி,bEstiri,பேசரி / மூக்கொட்டி,Nose Stud,ஒர்ஸுஹொயெ பெ3ய்ல்மெனின் தீ3 நாகு3ம் பே3ஸ்திரி க4ல்லி ர்ஹானு,orsuhoye beylmenin dee naagum bEstiri ghalli rhaanu,வயதான பெண்கள் இரு மூக்கிலும் பேசரி அணிந்திருப்பார்கள்,Older women wear Baesthiri on both noses,ornament,corpus_sourashtradictionary
கெ3ஜ்ஜெல்,gejjel,அட்டிகை / கல்சரம்,Necklace,கெ3ஜ்ஜெல் மெனரியொ கெ3லா ஸெர்மான் ர்ஹாத்திஸா ஆபரணொ,gejjel menariyo gelaa sermaan rhaattisaa aaparaNo,அட்டிகை என்பது கழுத்தை ஒட்டி இருக்கும் ஆபரணம்,A necklace is an ornament around the neck,ornament,corpus_sourashtradictionary
அட்3க்3யல்,aDgyal,அட்டிகை / பொற்சரம்,Necklace,ஹொராடு3 விஶேஷுக் ஜு2கு3 பெ3ய்ல்மெனின் அட்3க்3யல் க4ல்லனு,horaaDu vissEshuk jhugu beylmenin aDgyal ghallanu,திருமண விழாவிற்கு பல பெண்கள் அட்டிகை அணிவார்கள்,Many women wear necklace for wedding ceremony,ornament,corpus_sourashtradictionary
தெ3ண்டொ3,deNDo,தங்கச் சங்கிலி,Chain,த3ல்லமெனின் மெல்லொ ஸொர்ணு தெ3ண்டொ3 க4ல்லனு,dallamenin mello sorNu deNDo ghallanu,ஆண்களும் தங்கச் சங்கிலிகளை அணிவார்கள்,Men also wear gold chains,ornament,corpus_sourashtradictionary
ஸரட்3,saraD,சிவப்புக்கல் சங்கிலி,Chain with red stone,ஸரட்3 தொ2வெ தெ3ண்டொ3 ஜு2க்கு நாவ் பொட3யொ,saraD thove deNDo jhukku naav poDayo,சிவப்பு கல் கொண்ட சங்கிலி மிகவும் பிரபலமானது,The chain with red stone is very popular,ornament,corpus_sourashtradictionary
ஹாரம்,haaram,தங்கமாலை,Golden garland,ஹாரம் தெ3ண்டொ3 ஸொம்மர் லம்பொ3கின் பா4ர்கன் ர்ஹாயி,haaram deNDo sommar lambokin bhaarkan rhaayi,தங்கமாலை சங்கிலியை விட நீளமாக மற்றும் கனமாக இருக்கும்,A golden garland is longer and heavier than chain,ornament,corpus_sourashtradictionary
வங்கி3,vanggi,மேல் புஜ அணி / கொந்திக்காய்,Gold upper armband,வங்கி3 மெனரியொ கொ2பா3க் உஞ்சொ க4ல்லத்திஸா ஸொம்மு,vanggi menariyo khobaak unjco ghallattisaa sommu,கொந்திக்காய் என்பது முழங்கைக்கு மேல் பெண்கள் அணியும் நகை,Vangi is a jewelery worn by women above the elbow,ornament,corpus_sourashtradictionary
நமுத்து,namuttu,கீழ் புஜ அணி,Gold lower armband,நமுத்து மெனரியொ கொ2பா3க் க2ல்லொ க4ல்லத்திஸா ஸொம்மு,namuttu menariyo khobaak khallo ghallattisaa sommu,நமுத்து என்பது முழங்கைக்கு கீழே பெண்கள் அணியும் ஒரு வகை நகை,Namuththu is a jewelery worn by women above the elbow,ornament,corpus_sourashtradictionary
கைனொ,kaino,வளையல்,Bangles,பிஸ்னி கைனான் ல்ஹெகூ3வரும் பு2ட்டை,pisni kainaan lhegoovarum phuTTai,பிளாஸ்டிக் வளையல்கள் எளிதில் உடையும்,Plastic bangles break easily,ornament,corpus_sourashtradictionary
கெங்க3ண்,kenggaN,கைக் காப்பு,"Wrist String, Bracelet",கெங்க3ண் தை3ரொ கங்க்3ராம் ப4ந்த3னு,kenggaN dairo kanggraam bhandanu,கைக் காப்பை வலது கை மணிக்கட்டில் கட்டுவார்கள்,The bracelet is tied on the right wrist,ornament,corpus_sourashtradictionary
கெது3ரொ,keduro,அரைஞாண்கயிறு,Waist Thread,பில்லல்னு தெ3ஸ்ஸு ஒர்ஸு லெந்து கெது3ரொ க4ல்லஸுனு,pillalnu dessu orsu lentu keduro ghallasunu,குழந்தைகள் பத்து வயது வரை அரைஞாண்கயிறு அணிவார்கள்,Children wear a girdle till the age of ten,ornament,corpus_sourashtradictionary
க3ஹதிரின்,gahatirin,அருமுடி,Hip ornament for Girl child,க3ஹதிரின் பெ3ட்கி பில்லல்னுக் கெது3ராம் பொமி க4லனு,gahatirin beTki pillalnuk keduraam pomi ghalanu,அருமுடி பெண் குழந்தைகளுக்கு அரைஞான் கயிற்றில் கோர்த்து கட்டுவார்கள்,Heart shaped amulet is stringed in the girdle for girl babies,ornament,corpus_sourashtradictionary
லெச்செ,lecce,தாயத்து,Talisman,தெனு கெ3லாம் லெச்செ க4ல்லி ஸே,tenu gelaam lecce ghalli sE,அவர் கழுத்தில் தாயத்து அணிந்திருக்கிறார்,He wears a talisman around his neck,ornament,corpus_sourashtradictionary
முத்3தி3,muddi,மோதிரம்,Ring,தெ2வ்டெ3தெனு பஞ்சூ அங்கி3ளிம் முத்3தி3 க4ல்லஸுன்,thevDetenu panjcoo anggiLim muddi ghallasun,சிலர் ஐந்து விரல்களிலும் மோதிரங்களை அணிவார்கள்,Some wear rings on all five fingers,ornament,corpus_sourashtradictionary
மொதி3,modi,முத்து,Pearl,தெனு அபுல் பெ4ய்னுக் ஒண்டெ மொதி3 மாலாக் தி3யாஸி,tenu apul bheynuk oNTe modi maalaak diyaasi,அவர் தனது தங்கைக்கு ஒரு முத்து மாலையை கொடுத்தார்,He gave his younger sister a pearl necklace,ornament,corpus_sourashtradictionary
பி3ந்து3ளொ,binduLo,கால் காப்பு,"Ankle String, Bracelet",கங்க்3ராம் கெங்க3ண் ஸோன் பாயிம் பி3ந்து3ளொ ப4ந்த3னு,kanggraam kenggaN sOn paayim binduLo bhandanu,மணிக்கட்டில் கைக் காப்பு போல் காலில் கால் காப்பு கட்டுவார்கள்,Ankle-strings are tied to the feet like wrist-string on the wrists,ornament,corpus_sourashtradictionary
த4கி3ரி,dhagiri,சலங்கை,Musical Anklet,நஸத்தெனுன் அபுல் பாயிம் த4கி3ரி க4ல்லனு,nasattenun apul paayim dhagiri ghallanu,நடனக் கலைஞர்கள் தங்கள் காலில் சலங்கை அணிவார்கள்,Dancers wear musical anklet on their feet,ornament,corpus_sourashtradictionary
அந்தெ3ல்,andel,சிலம்பு,Anklet,அந்தெ3ல் மெனரியொ பெ3ய்லன் பாயிம் க4ல்லத்திஸானுகெ,andel menariyo beylan paayim ghallattisaanuke,சிலம்பு என்பது பெண்கள் காலில் அணிவது,Andel is worn by women on their feet,ornament,corpus_sourashtradictionary
கொ3ஸுல்,gosul,சிலம்பு,Anklet,கொ3ஸுலும் பி4த்தர் ரெத்தனு தெ3ய்டா3ன் ர்ஹாயி,gosulum bhittar rettanu deyDaan rhaayi,சிலம்பின் உள்ளே ரத்தினக் கற்கள் இருக்கும்,There will be gemstones inside the gosul,ornament,corpus_sourashtradictionary
செய்ம்பட்டெ,ceympaTTe,கொலுசு,Anklet,செய்ம்பட்டெக் ஸொர்ணும் மெல்லொ கெரஸுனு,ceympaTTek sorNum mello kerasunu,கொலுசை தங்கத்திலும் செய்வார்கள்,The clasp is made in gold also,ornament,corpus_sourashtradictionary
மிஞ்ஜி,minjji,மெட்டி,Toe ring worn by married women,ஹொராட்3 ஹொயெ பெ3ய்லன் பாய்ஞிம் மிஞ்ஜி க4ல்லன்,horaaD hoye beylan paaynjim minjji ghallan,திருமணமான பெண்கள் காலில் மோதிரம் அணிவார்கள்,Married women wear rings on their feet,ornament,corpus_sourashtradictionary
அத்3த3ம்,addam,கண்ணாடி,Mirror,அத்3த3ம் அபுலானுக் ஸீலத்தக் ஒர்க3ஸு,addam apulaanuk seelattak orgasu,கண்ணாடி தன்னைப் பார்க்கப் பயன்படுகிறது,Mirror is used for looking at oneself,ornament,corpus_sourashtradictionary
தோ3பு3,dObu,கண்ணாடி,Mirror,பொ3ண்டி3ம் பஸ்கட் ஸாத்தக் தோ3பு3 நுக3ஸு,boNDim paskaT saattak dObu nugasu,காரில் பின்புறம் பார்க்க கண்ணாடி பயன்படுகிறது,Mirror is used in car to view the rear side,ornament,corpus_sourashtradictionary
தௌ3ணொ,dauNo,கண்ணாடி,Mirror,நவீன தௌ3ணான் ருப்பொ ந்ஹீஜியெத் ஜெல்மினும் கெரஸுனு,naveena dauNaan ruppo nheejiyet jelminum kerasunu,நவீன கண்ணாடிகள் வெள்ளி அல்லது அலுமினியத்தில் செய்கிறார்கள்,Modern mirrors are made of silver or aluminum,ornament,corpus_sourashtradictionary
தொ3ளா அத்3த3ம்,doLaa addam,மூக்குக் கண்ணாடி,"Specs, Spectacles",40 ஒர்ஸு த3டெ3 ஜு3கு3தெனு தொ3ளா அத்3த3ம் க4ல்லஸுன்,40 orsu daDe jugutenu doLaa addam ghallasun,40 வயதுக்கு மேற்பட்ட பெரும்பாலானோர் மூக்குக் கண்ணாடி அணிகிறார்கள்,Most people over 40 wear specs,ornament,corpus_sourashtradictionary
ச2ஸ்மொ,chasmo,மூக்குக் கண்ணாடி,"Specs, Spectacles",அத்தொ பில்லல்னு மெல்லொ ச2ஸ்மொ க4ல்லராஸ்,atto pillalnu mello chasmo ghallaraas,இப்போது குழந்தைகள் கூட மூக்குக் கண்ணாடி அணிகிறார்கள்,Even children are wearing specs these days,ornament,corpus_sourashtradictionary
பொ2ன்னி,phonni,சீப்பு,Comb,ஜவ்ணான் ஒண்டெ ந்ஹன்ன பொ2ன்னிக் கொ2ள்டிம் தொ2வ்லி ஸே,javNaan oNTe nhanna phonnik khoLTim thovli sE,இளைஞர்கள் ஒரு சிறிய சீப்பை பாக்கெட்டில் வைத்திருக்கிறார்கள்,Youths keep a small comb in the pocket,ornament,corpus_sourashtradictionary
பொ2ன்னொ,phonno,ஈர்க்கொல்லி,Robi Comb,தொ3ஸ்காம் ஜூ2ம் ஜவடத்தக் பொ2ன்னொ ப்ரயோக்3 கெருவாயி,doskaam jhoom javaTattak phonno prayOg keruvaayi,தலையில் பேன்களைக் அகற்ற ஈர்க்கொல்லியைப் பயன்படுத்தலாம்,RobiComb can be used to remove lice in the head,ornament,corpus_sourashtradictionary
சாத்,caat,ஈர்க்கம்பி,Scratching rod,ஒல்லொ கே2ஸுக் ஸுக்கட3த்தக் சாத் நுக3ஸு,ollo khEsuk sukkaDattak caat nugasu,ஈரமான முடியை உலர்த்துவதற்கு ஈர்க்கம்பி பயன்படுகிறது,Scratching rod is used to dry wet hair,ornament,corpus_sourashtradictionary
பொ3ட்டு,boTTu,"திலகம், குங்குமம்","Bindi, Sindoor, Kumkum",ஹொராட்3ஹொயெ அளின் பா4ங்கு3ம் பொ3ட்டு லவ்லனு,horaaDhoye aLin bhaanggum boTTu lavlanu,திருமணமான பெண்கள் வகிடில் திலகம் இடுவார்கள்,Married women apply Sindoor on the hair parting,ornament,corpus_sourashtradictionary
அவ்தொ,avto,மஞ்சள் திலகம்,Turmeric tilak,நொவ்ராக் அவ்தொ லவொ,novraak avto lavo,மாப்பிள்ளைக்கு மஞ்சள் திலகம் இடவும்,Apply turmeric tilak to the groom,ornament,corpus_sourashtradictionary
பொ4ரணி,bhoraNi,குங்குமச்சிமிழ்,"Small round box, Casket",த3ந்தும் கெரெ பொ4ரணி மோல் வேன் ர்ஹாயி,dantum kere bhoraNi mOl vEn rhaayi,தந்தத்தால் செய்யப்பட்ட குங்குமச்சிமிழ் விலை அதிகம் இருக்கும்,The vermilion box made of ivory is more expensive,ornament,corpus_sourashtradictionary
ஸம்ஸுடொ3,samsuDo,அலங்காரப் பெட்டி,"Ornament Box, Cosmetic case",ஸம்ஸுடொ3 ஜு2கு3 ஆகாரும் அப்3ப3ஸு,samsuDo jhugu aakaarum abbasu,அலங்காரப் பெட்டிகள் பல்வேறு வடிவங்களில் கிடைக்கின்றன,Ornament boxes are available in various shapes,ornament,corpus_sourashtradictionary
ஸம்ஸுலாபெடி,samsulaapeTi,அலங்காரப் பெட்டி,"Ornament Box, Cosmetic case",ஸம்ஸுலாபெடிம் உன்னபொட3யொ 15 கௌதுக வஸ்துன் தொ2வாயி,samsulaapeTim unnapoDayo 15 kautuka vastun thovaayi,அலங்காரப் பெட்டியில் குறைந்தது 15 அழகு சாதனப் பொருட்களை வைக்கலாம்,At least 15 beauty products can be placed in the Ornament box,ornament,corpus_sourashtradictionary
கஜல்,kajal,கண்மை,"Eye Liner, Eyeliner",தொ3ளாக் ஸிங்க்3யார் கெரத்தக் கஜல் நுக3ஸு,doLaak singgyaar kerattak kajal nugasu,கண்களை அழகுபடுத்த கண்மை பயன்படுகிறது,Eyeliner is used to beautify the eyes,ornament,corpus_sourashtradictionary
மொன்னி,monni,மணி,Bead,மொன்னிம் ஜு2கு3 ஹாதுகலா வஸ்துன் கெரத்தக் முஸையி,monnim jhugu haatukalaa vastun kerattak musaiyi,மணிகளால் பல கைவினைப்பொருட்கள் செய்ய முடியும்,Many crafts can be made with beads,ornament,corpus_sourashtradictionary
கௌது,kautu,"அலங்காரம், ஒப்பனை","Decoration, Make up",நொவ்ரி கௌது 4 ர்ஹீ 5 கெ4ண்டயன் லக3யி,novri kautu 4 rhee 5 gheNTayan lagayi,மணப்பெண் ஒப்பனை 4 முதல் 5 மணி நேரம் ஆகும்,Bridal makeup takes 4 to 5 hours,ornament,corpus_sourashtradictionary
கௌதுக வஸ்து,kautuka vastu,அலங்காரப் பொருள்,"Decorative Items, Make up Items, Cosmetics",ஜு2கு3 கௌதுக வஸ்துன் ஹுத்ராடு3 கெர வஸ்துன்,jhugu kautuka vastun hutraaDu kera vastun,நிறைய அழகுசாதனப் பொருட்கள் இறக்குமதி செய்யப்பட்டவை,A lot of cosmetics are imported,ornament,corpus_sourashtradictionary
கோன்,kOn,யார்,Who,மொரெ ஸெராடி3 கோன் அவரியொ?,more seraaDi kOn avariyo?,என்னுடன் யார் வருகிறார்கள்?,Who are coming with me?,pron,corpus_sourashtradictionary
மீ,mee,நான்,I,மீ பெ3ஸ்தார்தி3 அவரியொ,mee bestaardi avariyo,நான் வியாழக்கிழமை வருகிறேன்,I'm coming on Thursday,pron,corpus_sourashtradictionary
