source,target
ꢂꢤꢶꢒꢵꢬ꣄,adhikaar
ꢃꢗ꣄ꢗꢬ꣄ꢫꣁ,aachcharyo'
ꢂꢡꢶꢬꢸꢦ꣄ꢡꢶ,atirupti
ꢂꢣꢸꢰ꣄ꢜꢸ,adusht'u
ꢂꢥ꣄ꢣꢱ꣄ꢡꢸ,andastu
ꢣꢾꢮꢸꢨꢵꢦ꣄,de'vubaap
ꢡꢪ꣄ꢪꢵꢞꢶ,tammaad'i
ꢂꢦ꣄ꢬꢵꢠꢶ,apraani
ꢂꢥꢬ꣄ꢢꢸꢮꢡ꣄ꢡꣁ,anarthuvatto'
ꢪꢶꢡꢥ꣄ꢮꢡ꣄ꢡꣁ,mitanvatto'
ꢂꢩꢶꢪꢵꢥ꣄,abhimaan
ꢒꢺꢬꢸꢦꣁ,kri'rupo'
ꢂꢭꢖ꣄ꢒꢵꢬ꣄,alankaar
ꢩꢮꢵꢜ꣄,bhavaat'
ꢲꢶꢠ꣄ꢞꢱ꣄ꢡꢿ,hind'aste
ꢂꢮꢶꢱ꣄ꢮꢵꢱ꣄,avisvaas
ꢒꢳꢖ꣄ꢔꢸ,kal'angu
ꢱꢸꢥ꣄ꢣꢬꣁ,sundaro'
ꢱꢸꢥ꣄ꢣꢬꢶ,sundari
ꢱꢸꢖ꣄ꢔꢵꢬ꣄,sungaar
ꢥꢵꢱ꣄,naas
ꢥꢱꢵꢡ꣄,nasaat
ꢃꢗ꣄ꢗꢬ꣄ꢫꢸ,aachcharyu
ꢮꢶꢣ꣄ꢮꢵꢥ꣄,vidvaan
ꢦꢠ꣄ꢞꢶꢡ꣄,pand'it
ꢦꢬꢶꢗꢫ꣄,parichay
ꢂꢒ꣄ꢛꢵꢥ꣄,aknjaan
ꢛꢵꢥꢶ,nyaani
ꢂꢙ꣄ꢛꢵꢥꢶ,ajnyaani
ꢂꢙ꣄꣄ꢛꢵꢥ꣄,ajnyaan
ꢛꢵꢥ꣄,nyaan
ꢦꢶꢬꢿꢮ,pireva
ꢃꢣꢬꣁ,aadaro'
ꢂꢥꢸꢪꢡꢶ,anumati
ꢲꢜ꣄ꢮꢥ꣄,hat'van
ꢄꢗ꣄ꢗꣁ,ichcho'
ꢃꢱ꣄ꢡꣁ,aasto'
ꢃꢜ꣄ꢰꢿꢦꢠꣁ,aat'shepano'
ꢃꢤꢬꣁ,aadharo'
ꢃꢤꢶꢒ꣄ꢫꣁ,aadhikyo'
ꢒꢸꢡꢹꢲꢭ꣄,kutoohal
ꢲꢬꢸꢪ꣄ꢨꢪ꣄,harumbam
ꢬꢾꢗ꣄ꢗꢒꢹꢡ꣄,re'chchakoot
ꢃꢬꣂꢔ꣄ꢫꢸ,aarogyu
ꢱꢪꢬ꣄ꢡꢸ,samartu
ꢨꣁꢭꢶꢪ꣄,bo'lim
ꢃꢥ꣄ꢥꢥ꣄ꢣꢸ,aannandu
ꢓꢿꢳꢸꢮꢡ꣄ꢡꣁ,khel'uvatto'
ꢄꢗ꣄ꢘꣁ,ichchho'
ꢏꢦ꣄ꢦꢱ꣄ꢡꢿ,o'ppaste
ꢒꢬꢸꢠꣁ,karuno'
ꢬꢸꢗ꣄ꢗꢶ,ruchchi
ꢬꢾꢗ꣄ꢗꣁ,re'chcho'
ꢕꢾꢬꢸ ꢤꢾꢬꢸꢪ꣄,ghe'ru dhe'rum
ꢭꢒ꣄ꢰ꣄ꢫꢮꢵꢣꢶ,lakshyavaadi
ꢥꢾꢰ꣄ꢜꢶ,ne'sht'i
ꢲꢾꢜ꣄ꢜꢾ ꢲꢱꣁ,he't't'e' haso'
ꢔꢾꢬꢸꢮ꣄,ge'ruv
ꢱꣁꢪ꣄ꢦꢸ,so'mpu
ꢔꢸꢭ꣄ꢭꢾ,gulle'
ꢏꢦ꣄ꢦꢫꢾꢫꣁ,o'ppaye'yo'
ꢥꢶꢙ꣄ꢙꢪ꣄,nijjam
ꢱꢾꢡ꣄ꢡꢸ,se'ttu
ꢭꢔꢶꢥꢶ,lagini
ꢩꢵꢮꢥꣁ,bhaavano'
ꢆꢦꢒꢵꢬ꣄,upakaar
ꢆꢦꢒꢵꢬꢶ,upakaari
ꢱꢶꢬꢪꣁ,siramo'
ꢥꢷꢛ꣄ꢙꢸ,neenju
ꢲꣂꢖ꣄ꢔꢸ,hongu
ꢂꢥꢸꢪꢵꢥ꣄,anumaan
ꢬꢹꢱ꣄,roos
ꢇꢣꢵꢬꢶ,oodaari
ꢧꣁꢮ꣄ꢥꢦꢥ꣄,pho'vnapan
ꢔꢪ꣄ꢗꢶꢥꢶ,gamchini
ꢒꢾꢰ꣄ꢜꢪ꣄,ke'sht'am
ꢆꢣ꣄ꢣꢪ꣄,uddam
ꢓꢾꢬꢸꢜ꣄,khe'rut'
ꢱꢶꢬꢣ꣄ꢤꢵ ꢒꢵꢪ꣄ꢒꢾꢬ꣄ꢡꣁ,siraddhaa kaamke'rto'
ꢔꢿꢭꢶ,geli
ꢙꢵꢔ꣄ꢬꢡꢶ,jaagrati
꣄ꢗꢶꢥ꣄ꢡꢥꣁ,chintano'
ꢮꢾꢣꢸꢬ꣄ꢛ꣄ꢗꢶꢥꢶ,ve'durnchini
꣄ꢮꢾꢣꢸꢬ꣄ꢛ꣄ꢗꢶꢥꢶ,ve'durnchini
ꢡꢶꢒ꣄ꢒꢾ,tikke'
ꢱꢺꢖ꣄ꢒꢵꢬ꣄,sri'nkaar
ꢭꢴꢾꢔꢸꢮ꣄,lhe'guv
ꢗꢸꢭꢨ꣄,chulab
ꢱꣃꢙꢥ꣄ꢫꢪ꣄,saujanyam
ꢱꣁꢮ꣄ꢭꢾ,so'vle'
ꢮꢾꢒꢸꢭ꣄,ve'kul
ꢔꢵꢭ꣄,gaal
ꢲꢸꢖ꣄ꢔꢵꢞ꣄,hungaad'
ꢲꢸꢖ꣄ꢔꢞ꣄ꢠꢶ,hungad'ni
ꢌꢞ꣄ꢗꢜ꣄ꢠꢶ,e'd'chat'ni
ꢲꢸꢖ꣄ꢒꢜꢡ꣄ꢡꢾ,hunkat'atte'
ꢲꢸꢖ꣄ꢔꢞ꣄,hungad'
ꢌꢜ꣄ꢗꢞ꣄ꢠꢶ,e't'chad'ni
ꢡꢫꢵꢬ꣄,tayaar
ꢱꢾꢥ꣄ꢣꢿꢮ꣄,se'ndev
ꢏꢜ꣄ꢒꢪ꣄,o't'kam
ꢪꢾꢬ꣄ꢗꢥ꣄,me'rchan
ꢪꢾꢬ꣄ꢗꢸꢭꢥ꣄ ꢥꢵꢬꢶ,me'rchulan naari
ꢫꣁꢒ꣄ꢡꣁ,yo'kto'
ꢮꢶꢰ꣄ꢬꢵꢥ꣄ꢡꢶ,vishraanti
ꢥꢶꢮꢺꢡꢶ,nivri'ti
ꢥꢶꢮꢺꢡꢶ ꢮꢾꢡꢥꣁ,nivri'ti ve'tano'
ꢱꢪꢬꢹꢦ꣄,samaroop
ꢱꢾꢬ꣄ꢒ ꢬꢴꢱ꣄ꢡꢾ,se'rka rhaste'
ꢱꢾꢬ꣄ꢒ ꢬꢴꢠꢶ,se'rka rhani
ꢒꣁꢜꢸꢒ꣄,ko't'uk
ꢭꣂꢩꢸ,lobhu
ꢭꣁꢩꢶ,lo'bhi
ꢂꢥꢸꢱꢵꢱꢥꣁ,anusaasano'
ꢒꢬ꣄ꢡꢮ꣄,kartav
ꢒꢬ꣄ꢡ꣄ꢡꢮ꣄ꢫꢪ꣄,karttavyam
ꢓꢾꢞꢶꢥ꣄,khe'd'in
ꢒꢞꢹꢱ꣄,kad'oos
ꢒꢠ꣄ꢞꢶꢦ꣄,kand'ip
ꢒꢝꣂꢬ꣄,kat'hor
ꢔꢮ꣄ꢬꢮ꣄,gavrav
ꢃꢱꢵꢣꢩꢹꢡꢶ,aasaadabhooti
ꢒꣁꢦꢜꢾ,ko'pat'e'
ꢒꢪꢨꢷꢬ꣄,kamabeer
ꢒꢺꢦꣁ,kri'po'
ꢃꢒꢬ꣄ꢰꢠꣁ,aakarshano'
ꢤ꣄ꢫꢵꢥ꣄,dhyaan
ꢂꢮꢤꢵꢥ꣄,avadhaan
ꢗꣁꢞ꣄ꢞꢦꢥ꣄,cho'd'd'apan
ꢗꣂꢬ꣄,chor
ꢗꣁꢞ꣄ꢞꣁ,cho'd'd'o'
ꢗꣁꢞ꣄ꢞꢶ,cho'd'd'i
ꢒꢭ꣄ꢪꢱꣁ,kalmaso'
ꢪꢭꢶꢥꣁ,malino'
ꢯꢷꢥ꣄,sheen
ꢣꢫꣁ,dayo'
ꢨꢵꢤꣁ,baadho'
ꢪꢶꢭꢿꢗ꣄ꢗꣁ,milechcho'
ꢮꢥꢗꢬꣁ,vanacharo'
ꢦ꣄ꢬꢾꢪ꣄,pre'm
ꢦ꣄ꢬꢾꢮ꣄,pre'v
ꢦ꣄ꢬꢶꢫꢡꢪꣁ,priyatamo'
ꢦ꣄ꢬꢾꢪꢶꢒꣁ,pre'miko'
ꢦ꣄ꢬꢶꢫꣁ,priyo'
ꢒꢵꢪꢪ꣄,kaamam
ꢔꢾꢭꢶ,ge'li
ꢆꢦꢲꢵꢱ꣄,upahaas
ꢒꢸꢱꢸꢪ꣄ꢨꢸ ꢒꢾꢬꢱ꣄ꢡꢾꢥꣁ,kusumbu ke'raste'no'
ꢒꢸꢱꢸꢪ꣄ꢨꢸ,kusumbu
ꢗꢾꢰ꣄ꢜꣁ,che'sht'o'
ꢱꢾꢬꢵꢨꢶ,se'raabi
ꢦꢥꢶ ꢨꣁꢠ꣄ꢞꢶ,pani bo'nd'i
ꢒꢸꢠ꣄ꢠꢸ,kunnu
ꢒꢸꢣꢹꢲꢭ꣄,kudoohal
ꢱꣁꢥ꣄ꢡꣂꢰ꣄,so'ntosh
ꢂꢦ꣄ꢬꢵꢤꢸꢩꢵꢮ꣄,apraadhubhaav
ꢗꢹꢒꢸ ꢩꢵꢮ꣄,chooku bhaav
ꢭꢵꢙ꣄,laaj
ꢭꢵꢱꢸ,laasu
ꢭꢙ꣄ꢙꣁ,lajjo'
ꢦ꣄ꢬꢵꢬ꣄ꢢꢥꣁ,praarthano'
ꢦ꣄ꢬꢾꢮ꣄ꢒꢥ꣄ ꢪꢾꢭ꣄ꢭꢶꢥꢶ,pre'vkan me'llini
ꢭꢾꢛ꣄ꢙꢪ꣄,le'njam
ꢆꢡ꣄ꢒꣁꢗ꣄,utko'ch
ꢦ꣄ꢬꢾꢮꢸꢪꢣꢶꢥꢶ,pre'vumadini
ꢥꢶꢥꢵꢮꢸ ꢮꢡ꣄ꢡꣁ,ninaavu vatto'
ꢪꢫꢵꢭꢸ ꢮꢡ꣄ꢡꣁ,mayaalu vatto'
ꢓꢾꢜ꣄,khe't'
ꢗꢹꢞ꣄ꢲꢥꢱ꣄ꢡꢾ,chood'_hanaste'
ꢮꢶꢣꢹꢰꢒꣁ,vidooshako'
ꢮꢶꢣꢹꢰꢒꢦꢥ꣄,vidooshakapan
ꢬꢵꢒ꣄,raak
ꢤꢒ꣄ꢒꢶꢭꢾ,dhakkile'
ꢤꢵꢒ꣄ꢸꢦꢥ꣄,dhaak_upan
ꢕꢾꢥꢪ꣄,ghe'nam
ꢔꢮ꣄ꢬ꣄ꢡꣁ,gavrto'
ꢯꢒ꣄ꢡꢶ,shakti
ꢱꢲꢥꣁ,sahano'
ꢦꣁꢥ꣄ꢣꢸꢭ꣄ꢥꢶ,po'ndulni
ꢩꢫ꣄ꢩꢾꢫ꣄ꢥꢾꢥꢸ ꢩꢵꢮꢥꣁ,bhaybhe'yne'nu bhaavano'
ꢮꢵꢣꢸ ꢮꢡ꣄ꢡꣁ,vaadu vatto'
ꢥꢥ꣄ꢚꢾꢞꣁ,nanjhe'd'o'
ꢚꢾꢞꣀꢡ꣄,jhe'd'ait
ꢚꢾꢞꣀꢡꢶꢥ꣄,jhe'd'aitin
ꢣꢸꢬ꣄ꢫꣁꢗꢥꣁ,duryo'chano'
ꢱꢞ꣄ꢫꢥ꣄ꢡ꣄ꢬꢸ,sad'yantru
ꢱꢥ꣄ꢣꢬ꣄ꢩꢮꢵꢣꢶ,sandarbhavaadi
ꢱꢾꢥ꣄ꢣꢾꢮ꣄,se'nde'v
ꢱꢲꢪꢡꢶ,sahamati
ꢬꢵꢙꢶ,raaji
ꢏꢬ꣄ꢦꢸ,o'rpu
ꢱꢬꢱ꣄,saras
ꢒꢵꢬ꣄ꢫ ꢒꢸꢰꢭꢡꣁ,kaarya kushalato'
ꢮꢶꢬꢱꢡꣁ,virasato'
ꢱꢵꢤ꣄ꢫꢸ,saadhyu
ꢱꢵꢤꢸ,saadhu
ꢯꢵꢥ꣄ꢡꢸ,shaantu
ꢦ꣄ꢬꢗ꣄ꢗꢥꣁ,prachchano'
ꢨꢸꢱ꣄ꢒꣁ,busko'
ꢦꢶꢭꣁ,pilo'
ꢗꢶꢥ꣄ꢡꢥꣁ,chintano'
ꢗꢶꢥ꣄ꢡ,chinta
ꢲꢱꢶꢥꢶ,hasini
ꢱꢶꢖ꣄ꢔꢡꢶꢦꢥ꣄,singatipan
ꢱꢾꢖ꣄ꢔꢣꢶꢦꢥ꣄,se'ngadipan
ꢱꢶꢖ꣄ꢔꢡꢶ,singati
ꢱꢾꢖ꣄ꢔꣀꢡ꣄,se'ngait
ꢄꢰ꣄ꢜꢸꢜ꣄,isht'ut'
ꢱꢶꢖ꣄ꢒꢔꢵꢬ꣄,sinkagaar
ꢩꢵꢬ,bhaara
ꢱꢮꢫꢒꣃꢬꢮ꣄,savayakaurav
ꢱꣁꢬꢠꣁ,so'rano'
ꢱ꣄ꢦꢬ꣄ꢯ ꢗꢾꢡꢥꣁ,sparsha che'tano'
ꢡ꣄ꢮꢬꢶꢡꢸ ꢩꢵꢮ꣄,tvaritu bhaav
ꢮꢾꢔꢸ ꢒꢾꢬ꣄ꢥꢶ,ve'gu ke'rni
ꢱꢹꢡꢸ,sootu
ꢒꢬ꣄ꢪꣁ,karmo'
ꢪꢷ ꢩꢵꢮ꣄,mee bhaav
ꢂꢲꢖ꣄ꢒꢵꢬ꣄,ahankaar
ꢪꢪꢡꣁ,mamato'
ꢚꢸꢒ꣄ꢒꢸꢮꢿꢱ꣄ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,jhukkuves ke'rnaar
ꢂꢭꢱꣁ,alaso'
ꢂꢱꢪꢥ꣄ꢣꢪ꣄,asamandam
ꢪꢥ꣄ꢣꢪ꣄,mandam
ꢃꢭꢱ꣄ꢫꣁ,aalasyo'
ꢱꣃꢥ꣄ꢣꢬ꣄ꢫꣁ,saundaryo'
ꢲꢜ꣄ꢮꢥꢸ ꢯꢒ꣄ꢡꢶ,hat'vanu shakti
ꢡꢾꢜ꣄ꢜꢸ ꢪꢸꢜ꣄ꢜꢫꢶꢥꢶ,te't't'u mut't'ayini
ꢯꢶꢳ꣄ꢳꢦꢥ꣄,shil'l'apan
ꢡꢥ꣄ꢡꢸꢬꢸꢦꢥ꣄,tanturupan
ꢡꢪꢵꢰ꣄,tamaash
ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶꢥꢶ,pasto'kkini
ꢱꢖ꣄ꢒꣂꢗ꣄,sankoch
ꢣꢬ꣄ꢯꢥꣁ,darshano'
ꢣꣁꢱ꣄ꢒꣁ ꢏꢖ꣄ꢔꢶꢥꢶ,do'sko' o'ngini
ꢔꢾꢬꢸꢮꢸ ꢩꢖ꣄ꢔꢸ,ge'ruvu bhangu
ꢮꢶꢯ꣄꣄ꢬꢵꢥ꣄ꢡꢶ,vishraanti
ꢮꢶꢬꢵꢪꣁ,viraamo'
ꢦꢬꢶꢯ꣄꣄ꢬꢪꣁ,parishramo'
ꢯ꣄꣄ꢬꢪꢦꢬꢶꢲꢵꢬ꣄,shramaparihaar
ꢱꢸꢫꢔꣃꢬꢮ꣄,suyagaurav
ꢂꢭꢔ꣄ꢔꢸꢠ꣄ꢠꢸ,alaggunnu
ꢮ꣄ꢫꢒ꣄ꢡꢶꢡ꣄ꢮꣁ,vyaktitvo'
ꢦ꣄ꢬꢸꢢꢒ꣄ꢩꢵꢮ꣄,pruthakbhaav
ꢮꢶꢯꢿꢰꢸꢔꢸꢠ꣄ꢠꢸ,visheshugunnu
ꢏꢠ꣄ꢜꢶꢦꢥ꣄,o'nt'ipan
ꢂꢭꢔ꣄ꢔ ꢬꢴꢥꢶ,alagga rhani
ꢮꢾꢔꢸꢭꢦꢥ꣄,ve'gulapan
ꢱꣂꢒ꣄,sok
ꢣꢵꢪ꣄ꢦꢡ꣄ꢫꢙꢶꢮ꣄ꢥꢪ꣄,daampatyajivnam
ꢱꢡꢶꢦꢡꢶ ꢙꢶꢮ꣄ꢥꢪ,satipati jivnama
ꢆꢣꢵꢬꢔꢸꢠ꣄ꢠꢸ,udaaragunnu
ꢣꢾꢛ꣄ꢗꢸ,de'nchu
ꢗꣂꢬꢸꢦꢥ꣄,chorupan
ꢱꢾꢬ꣄ꢒꢒꢬ꣄ꢥꢶ,se'rkakarni
ꢡꢶꢣ꣄ꢣꢸꢮꢭꢶ,tidduvali
ꢡꢶꢬꢸꢦ꣄ꢡꢶ,tirupti
ꢡ꣄ꢫꢵꢔ꣄,tyaag
ꢡ꣄ꢫꢵꢔꢶ,tyaagi
ꢱꢪꢬ꣄ꢢꢸ,samarthu
ꢃꢯꢒ꣄ꢡꢸ,aashaktu
ꢱꢪꢬ꣄ꢢꢸꢦꢥ꣄,samarthupan
ꢥꢱꢵꢡꢸ,nasaatu
ꢥꢶꢬꢠꢫꣁ,niranayo'
ꢤꢷꢬꢸ,dheeru
ꢤꢾꢫ꣄ꢬ꣄ꢫꢮꢵꢥ꣄,dhe'yryavaan
ꢡꢷꢮ꣄ꢬꣁ,teevro'
ꢡꢷꢮ꣄ꢬꢮꢵꢣꢶ,teevravaadi
ꢣꢸꢓꢸ,dukhu
ꢪꣁꢥ꣄ꢥꢸꢤꢾꢫ꣄ꢬ꣄ꢫꢪ꣄,mo'nnudhe'yryam
ꢣꢸꢬꢞꢶꢰ꣄ꢜꢸ,durad'isht'u
ꢣꢸꢬꣂꢒ꣄,durok
ꢏꢔꢸꢬ꣄,o'gur
ꢱꢥ꣄ꢫꢵꢱꢸ ꢤꢾꢬꢸꢪ꣄,sanyaasu dhe'rum
ꢱꢥ꣄ꢫꢵꢱꢶ,sanyaasi
ꢐꢖ꣄ꢒꢸ,onku
ꢱꢸꢣ꣄ꢤꢶ,suddhi
ꢪꢸꢣꢶꢬꢪ꣄ꢪꣁ,mudirammo'
ꢱ꣄ꢦꢰ꣄ꢜꢸ,spasht'u
ꢤꣀꢬ꣄ꢫꢱꢵꢭꢶ,dhairyasaali
ꢤꢾꢫ꣄ꢬ꣄ꢫꢪ꣄,dhe'yryam
ꢦ꣄ꢬꢵꢬꢪ꣄ꢩꢸ,praarambhu
ꢱꢪ꣄ꢨꢥ꣄ꢤꢸ,sambandhu
ꢱꢪ꣄ꢦꢬ꣄ꢒꢸ,samparku
ꢮ꣄ꢫꢒ꣄ꢡꢸ,vyaktu
ꢱꢖ꣄ꢔꢡꢶꢦꢥ꣄,sangatipan
ꢏꢠ꣄ꢒꢶꢥꢶ,o'nkini
ꢥꣁꢪ꣄ꢪꢶꢥꢶ,no'mmini
ꢧꢠ꣄ꢜꢓꢾꢱ꣄,phant'akhe's
ꢱꢸꢔꢥ꣄ꢡꢸ,sugantu
ꢩꢭꣁ,bhalo'
ꢗꣁꢒ꣄ꢧꢭꢸꢥ꣄,cho'kphalun
ꢤꢥ꣄ꢥꢸ,dhannu
ꢤꢥ꣄ꢥꢸ ꢲꢷꢥꢸꢦꢥ꣄,dhannu heenupan
ꢔꢵꢪ ꣄ꢧꢶꢬ꣄ꢥꢵꢬ꣄,gaama phirnaar
ꢦꢬꢶꢩ꣄ꢬꢪꢶ,paribhrami
ꢣꢾꢯꢗꢵꢬꢶ,de'shachaari
ꢂꢮ꣄ꢪꢵꢥ꣄,avmaan
ꢬꢸꢙꢸꢦꢥ꣄,rujupan
ꢥꢶꢡ꣄ꢡꢦꢥ꣄,nittapan
ꢕꢵꢥ꣄,ghaan
ꢣꢸꢬ꣄ꢔꢥ꣄ꢤꢸ,durgandhu
ꢱꢪꣁ,samo'
ꢱꢪꢦꢥ꣄,samapan
ꢱꢪꢡꣁ,samato'
ꢱꢷꢱꣁꢮ꣄ꢬꢶ ꢬꢴꢵꢱ꣄ꢡꢾ,seeso'vri rhaaste'
ꢢꢶꢬꢪ꣄ꢒꢥꢶ ꢬꢴꢵꢱ꣄ꢡꢾ,thiramkani rhaaste'
ꢔꢵꢳ꣄꣄,gaal'
ꢥꢶꢥ꣄ꢣꢥꣁ,nindano'
ꢢꢸꢮ꣄ꢥꢶ,thuvni
ꢱꢪꢬ꣄ꢢꢸꢮꢵꢥ꣄,samarthuvaan
ꢥꢶꢬꢵꢯꣁ,niraasho'
ꢱ꣄ꢢꢶꢡꢶ,sthiti
ꢱ꣄ꢪꢬꢠ ꢯꢒ꣄ꢡꢶ,smarana shakti
ꢪꢹꢬ꣄ꢗ꣄ꢘꣁ ꢭꢔꢾ ꢱ꣄ꢡꢾꢥꣁ,moorchchho' lage' ste'no'
ꢱ꣄ꢪꢬꢠꣁ,smarano'
ꢂꢥꢫꣁꢥ꣄ꢫꢸ,anayo'nyu
ꢦꢒ꣄ꢮꣁ,pakvo'
ꢦꢶꢒ꣄ꢒꢶꢥꢶ,pikkini
ꢪꣁꢙꣁ,mo'jo'
ꢪꢾꢬ꣄ꢗꢶꢥꢶ,me'rchini
ꢨꢥ꣄ꢣꢵ,bandaa
ꢮꢶꢬꣂꢤ꣄,virodh
ꢦꢬꢶꢡꢵꢦ꣄,paritaap
ꢧꢭ꣄ꢗꢵꢡꢵꢦ꣄,phalchaataap
ꢂꢥꢸꢡꢵꢮ꣄,anutaav
ꢩꢹꢒ꣄,bhook
ꢱꢾꢭꢶꢪ꣄ꢨꢸ,se'limbu
ꢱꢾꢭꢶꢦꢪ꣄,se'lipam
ꢱꢸꢒ꣄ꢒꢶꢥꢶ,sukkini
ꢮꢶꢣ꣄ꢫꣁ,vidyo'
ꢒ꣄ꢬꢸꢡꢶ,kruti
ꢬꢹꢦ꣄ꢒꢾꢬ꣄ꢥꢶ,roopke'rni
ꢱ꣄ꢬꢸꢰ꣄ꢜꢶ,srusht'i
ꢔꢸꢠ꣄ꢠꢸꢥ꣄,gunnun
ꢔꢸꢠ꣄ꢠꢸꢥꢸ ꢱꢵꢬ꣄,gunnunu saar
ꢦꢡ꣄ꢥꢶ,patni
ꢤꢪꢵꢤꢵꢪ꣄,dhamaadhaam
ꢤꢵꢒ꣄,dhaak
ꢥꣁꢮꢡꢾꢒꣁ ꢱꢵꢡ꣄ꢡꣁ ꢤꢒ꣄ꢒꢶꢥꢶ,no'vate'ko' saatto' dhakkini
ꢦꢵꢭꢥꣁ ꢒ꣄ꢬ꣄ꢥꢶ,paalano' krni
ꢦꢬꢶꢲꢵꢬ꣄,parihaar
ꢦ꣄ꢬꢵꢫꢯ꣄ꢗꢶꢡ꣄ꢡꢸ ꢒꢾꢬꢱ꣄ꢡꢾ,praayashchittu ke'raste'
ꢦꢬꢶꢲꢵꢱ꣄,parihaas
ꢨꢭꢲꢶꢥ꣄,balahin
ꢨꢭ꣄ꢯꢵꢭꢶ,balshaali
ꢦꢮꢶꢡ꣄ꢬꢸ,pavitru
ꢬꢦ꣄ꢡꣁ,rapto'
ꢦꣁꢬꢵꢒ꣄ꢦꣁꢬꣁ,po'raakpo'ro'
ꢦ꣄ꢬꢡꢶꢯꣂꢤ꣄,pratishodh
ꢪꢾꢬ꣄ꢦꢸꢭ꣄,me'rpul
ꢙꣁꢭꢶꢛ꣄ꢗꢶꢥꢶ,jo'linchini
ꢥꢸꢮꢶꢥꢶ,nuvini
ꢪꢾꢗ꣄ꢗꢶꢥꢶ,me'chchini
ꢯ꣄ꢭꢵꢕꢥꣁ,shlaaghano'
ꢩꢷꢒ,bheeka
ꢕꢾꢞꢶꢮꢵꢣ꣄,ghe'd'ivaad
ꢣꢸꢬꢵꢔ꣄ꢬꢲꣁ,duraagraho'
ꢦꢶꢬꢡꢶꢧꣂꢭ,piratiphola
ꢪꢵꢫꣁ,maayo'
ꢦꢱ꣄ꢒꢜ꣄ ꢬꢴꢥꢶ,paskat' rhani
ꢩꢷꢡꢶ,bheeti
ꢔꢸꢨꢸꢔꢸꢦꢵꢱ꣄ꢡꢿ,gubugupaaste
ꢨꢸꢣ꣄ꢤꢶ,buddhi
ꢆꢡ꣄ꢱꢵ,utsaa
ꢔꢾꢠꢵꢡ꣄,ge'naat
ꢂꢪ꣄ꢨꢜ꣄,ambat'
ꢒꢥ꣄ꢫꢵ,kanyaa
ꢒꢷꢬ꣄ꢡꢶ,keerti
ꢮꢾꢣꢸꢬ꣄ ꢮꢣꢶꢥꢶ,ve'dur vadini
ꢩꢿꢡ,bheta
ꢪꢶꢢꢥ꣄,mithan
ꢥꣁꢮꢦꢥ꣄,no'vapan
ꢂꢱꢹꢫꣁ,asooyo'
ꢙꢮꢵꢨ꣄ꢣꢵꢬ꣄,javaabdaar
ꢱꢲꢥꢡꣁ,sahanato'
ꢔꢸꢠ꣄ꢞꣁ,gund'o'
ꢔꢸꢠ꣄ꢞꢦꢥ꣄,gund'apan
ꢪꢲꢶꢪꣁ,mahimo'
ꢪꢵꢲꢵꢡ꣄ꢪꣁ,maahaatmo'
ꢪꢲꢵꢥ꣄,mahaan
ꢪꣁꢪ꣄ꢦꢸ,mo'mpu
ꢱꣁꢥ꣄ꢡꢸ,so'ntu
ꢫꢸꢮꢡꢶ,yuvati
ꢪꢴꢸꢞꢦꢥ꣄,mhud'apan
ꢪꢴꢸꢞꣁ,mhud'o'
ꢮꢱꢸꢥꣁ,vasuno'
ꢪꢾꢖ꣄ꢔꢶꢥꢶ,me'ngini
ꢪꣁꢬ꣄ꢔ꣄ꢫꢵꢡ꣄,mo'rgyaat
ꢧꢸꢭꢱ꣄ꢡꢾ,phulaste'
ꢮꢶꢱꢸꢬ꣄,visur
ꢪꣁꢥ꣄ꢥꢸ ꢒꢮ꣄ꢭꢶꢥꢶ,mo'nnu kavlini
ꢪꣁꢥ꣄ꢥꢸ ꢯꢵꢥ꣄ꢡꢶ,mo'nnu shaanti
ꢡ꣄ꢬꢸꢦ꣄ꢡꢶ,trupti
ꢦꢬꢶꢦꢹꢬ꣄ꢠꢸ,paripoornu
ꢪꢥꣂꢩꢵꢮ꣄,manobhaav
ꢪꢬ꣄ꢗꢶꢥꢶ,marchini
ꢏꢬꢶꢮꢬ꣄ꢡꢥꣁ,o'rivartano'
ꢂꢮꢪꢵꢥ꣄,avamaan
ꢪꢵꢥ꣄,maan
ꢔꣃꢬꢮ꣄,gaurav
ꢔꢾꢡ꣄ꢡꢸ,ge'ttu
ꢒꣁꢪ꣄ꢨꢳꢦꢥ꣄,ko'mbal'apan
ꢦꢬꢶꢦꢒ꣄ꢮꢡꣁ,paripakvato'
ꢫꢡ꣄ꢡꢥ꣄,yattan
ꢦ꣄ꢬꢫꢡ꣄ꢡꢥ꣄,prayattan
ꢥꢴꢥ꣄ꢲꢱꣁ,nhanhaso'
ꢪꢸꢒꢸꢭ꣄ꢲꢱꣁ,mukulhaso'
ꢲꣁꢬꢮ꣄ꢥꢶ,ho'ravni
ꢂꢥ꣄ꢤꢮꢶꢯ꣄꣄ꢮꢵꢱ꣄,andhavishvaas
ꢣꣁꢮ꣄ꢬꢦꢥ꣄,do'vrapan
ꢪꢹꢬ꣄ꢓꢦꢥ꣄,moorkhapan
ꢪꢹꢬ꣄ꢓꢸ,moorkhu
ꢥꢶꢙꢮꢡ꣄ꢡꣁ,nijavatto'
