source,target
ꢆꢭ꣄ꢭꢾꢲꢥꣁ,மேற்கோள்
ꢂꢮꢡꢵꢬꢠꣁ,மேற்கோள்
ꢂꢮꢡꢵꢬꢶꢡ ꢮꢵꢒ꣄ꢫꢸ,மேற்கோள்
ꢡꢣꢾꢮ,மேற்படி
ꢪꢤ꣄꣄ꢫ ꢱꢬ꣄ꢒꢵꢬ꣄,மைய அரசு
ꢂꢥꢸꢮꢵꢣꢒꣁ,மொழிபெயர்ப்பாளர்
ꢡꢬ꣄ꢙꢪꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,மொழிபெயர்ப்பாளர்
ꢚꢾꢞꣁ,யுத்தம்
ꢪꢵꢬ꣄,யுத்தம்
ꢬꢵꢠꢶ,ராணி
ꢦꢭꣁ,ராணுவம்
ꢬꢵꢙ ꢣꢸꢬꣂꢲꢶ,ராஜதுரோகி
ꢬꢵꢙꢫ ꢱꢩꣁ,ராஜ்யசபை
ꢪꢾꢜꢸ ꢱꢩꣁ,ராஜ்யசபை
ꢬꢙꢶꢥꢪꣁ,ராஜினாமா
ꢬꢵꢰ꣄ꢜ꣄ꢬꢦꢡꢶ,ராஷ்டிரபதி
ꢪꢵꢪꢹꢭ꣄,லஞ்சம்
ꢭꢾꢛ꣄ꢗꢪ꣄,லஞ்சம்
ꢭꣁꢒ꣄ ꢱꢩꣁ,லோக்சபை
ꢮꢶꢡ꣄ꢡꢒꣁꢰ꣄,வங்கி
ꢲꢥ꣄ꢥꢮꢸ ꢱꢖ꣄ꢒ꣄ꢬꢲꢥꣁ,வசூல்
ꢮꢱꢸꢭ꣄,வசூல்
ꢡꢵꢭꢹꢒꢵ,வட்டம்
ꢣꢵꢱꢶꢭ꣄ꢣꢵꢬ꣄,வட்டாட்சியர்
ꢦꢶꢬꢵꢥ꣄ꢡ꣄ꢫꢸ,வட்டாரம்
ꢦꢶꢬꢵꢥ꣄ꢡꢶꢫ ꢩꢵꢰꣁ,வட்டாரமொழி
ꢩꢶꢫꢵꢬ꣄,வணிகம்
ꢮꢵꢠꢶꢙ꣄ꢫꣁ,வணிகம்
ꢩꢶꢫꢵꢬꢸ ꢮꢶꢡ꣄ꢡ ꢒꣁꢰ꣄,வணிகவங்கி
ꢮꢠꢶꢒ ꢮꢶꢡ꣄ꢡ ꢒꣁꢰ꣄,வணிகவங்கி
ꢩꢶꢫꢵꢬꢸ ꢱꢸꢭ꣄ꢒꣁ,வணிகவரி
ꢮꢠꢶꢒ ꢱꢸꢭ꣄ꢒꣁ,வணிகவரி
ꢒꢶꢪ꣄ꢮꢣꢥ꣄ꢡꢶ,வதந்தி
ꢙꢥꢱ꣄ꢬꢸꢡꢶ,வதந்தி
ꢩ꣄ꢫꢵꢬ꣄,வர்த்தகம்
ꢂꢮ꣄ꢥꢶ,வரவு
ꢡꣂꢬꢠ꣄,வரிசை
ꢒ꣄ꢬꢪꣁ,வரிசை
ꢱ꣄ꢬꢿꢠꢶ,வரிசை
ꢱꢸꢭ꣄ꢒꢥꢶꢬ꣄ꢠꢫꢸ,வரிவிதிப்பு
ꢆꢗ꣄ꢭꢵꢮ꣄,வருமானம்
ꢙꣁꢞꢸꢪ꣄ꢨꢸꢭ꣄,வருமானம்
ꢆꢗ꣄ꢭꢵꢮꢸ ꢱꢸꢭ꣄ꢒꣁ,வருமான வரி
ꢆꢗ꣄ꢭꢵꢮꢸ ꢒꢬꣁ,வருமான வரி
ꢬꢵꢙ꣄ꢫ ꢃꢣꢵꢫꢸ,வருவாய்
ꢥ꣄ꢫꢥ꣄ꢡ꣄ꢬꢠꣁ,வரையறை
ꢦ꣄ꢬꢡꢶꢨꢥ꣄ꢤꢸ,வரையறை
ꢮꢔꣁꢡꣁꢔꣁ,வரையறை
ꢮꢶꢡ꣄ꢡ ꢭꢿꢓꢸ,வரைவோலை/ வரைவு
ꢦ꣄ꢬꢵꢒ꣄ ꢭꢾꢓꢥꣁ,வரைவோலை/ வரைவு
ꢥꢶꢦꢸꢠꣁ,வல்லுநர்
ꢙꣀꢥ ꢧꢶꢬ꣄ꢥꢶ,வலஞ்சுழி
ꢦ꣄ꢬꢣꢒ꣄ꢰꢥꣁ,வலஞ்சுழி
ꢮꢒ꣄ꢒꢷꢭ꣄,வழக்கறிஞர்
ꢬꢹꢟꢶ,வழக்காறு
ꢪꢵꢬ꣄ꢒꢣꢬ꣄ꢱꢶ,வழிகாட்டி
ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢞ꣄ꢠꢵꢬ꣄,வழிகாட்டி
ꢒꢾꢬꢥ꣄ꢮꢵꢜ꣄,வழிமுறை
ꢡꢸꢔꢵꢳ꣄,வறட்சி
ꢣꢬꢶꢣ꣄ꢬꢡꣁ,வறுமை
ꢣꢾꢭ꣄ꢞꢶꢬꢶꢦꢥ꣄,வறுமை
ꢆꢔ꣄ꢬꢦꢥ꣄,வன்முறை
ꢮꢵꢒ꣄ ꢣꢾꢥꢵꢬ꣄,வாக்காளர்
ꢪꢡꢣꢵꢡꣁ,வாக்காளர்
ꢮꣂꢜ꣄,வாக்கு
ꢮꢵꢒꢸ ꢦꢡ꣄ꢬꢸ,வாக்குச்சீட்டு
ꢨꢜ꣄ꢒꢾ,வாடகை
ꢮꢵꢡꢶ,வாதி
ꢮꢵꢬ꣄ꢱꢸ,வாரிசு
ꢆꢡ꣄ꢬꢵꢤꢶꢒꢵꢬꢶ,வாரிசு
ꢱꢪꢶꢡꢶ,வாரியம்
ꢂꢥꢸꢦꢵꢡ꣄,விகிதம்
ꢸꢮꢶꢗꢵꢬꢠꣁ,விசாரணை
ꢱ꣄ꢮꢵꢡꢥ꣄ꢡ꣄ꢬꢸ,விடுதலை
ꢱꣁꢞ꣄ꢥꢶ,விடுப்பு
ꢱꣁꢞ꣄ꢮꢵꢬ꣄,விடுப்பு
ꢱꣂꢞꢶ,விடுமுறை
ꢮꢶꢦꢡ꣄ꢡꢸ,விபத்து
ꢮꢵꢫꢸꢱꢾꢥꣁ,விமானப்படை
ꢧꢵꢞ꣄,விரிசல்
ꢨꢶꢭ꣄ꢭꣁ,வில்லை
ꢪꣁꢭꢸ ꢙꢦ꣄ꢡꣁ,விலைபட்டியல்
ꢪꣁꢭꢸ ꢂꢜ꣄ꢜꢮꢥꣁ,விலைபட்டியல்
ꢮꢶꢮꢵꢣ꣄,விவாதம் `
ꢮꢵꢔ꣄ꢮꢶꢮꢵꢣ꣄,விவாதம் `
ꢆꢡ꣄ꢱꢮ꣄,விழா
ꢮꣀꢩꢮ꣄,விழா
ꢦ꣄ꢬꢡꢶꢯꢡ꣄,விழுக்காடு
ꢦ꣄ꢬꢡꢶꢯꣁꢡꢸ,விழுக்காடு
ꢮꢶꢙ꣄ꢛꢵꢦꢥꣁ,விளம்பரம்
ꢦ꣄ꢬꢒꢵꢬꢰꢥꣁ,விளம்பரம்
ꢮꢶꢒ꣄ꢒꢶꢥꢶ ꢒꢬꣁ,விற்பனை வரி
ꢣꢬꣁ,விகிதம்
ꢂꢩꢾꢒ꣄ꢯꢒꣁ,வேட்பாளர்
ꢂꢩꢾꢒ꣄ꢰꢸ,வேட்பு
ꢒꢵꢪ꣄ ꢲꢶꢨ꣄ꢨꢜ꣄ꢠꢶ,வேலை நிறுத்தம்
ꢒ꣄ꢬꢸꢰꢶ,வேளாண்மை
ꢮꢶꢥ꣄ꢫꢵꢱ꣄,வைப்புத்தொகை
ꢭꣁꢒ ꢡꢥ꣄ꢡ꣄ꢬꢸ,ஜனநாயகம்
ꢦ꣄ꢬꢙꢵ ꢡꢥ꣄ꢡ꣄ꢬꢸ,ஜனநாயகம்
ꢙꢥ ꢡꢥ꣄ꢡ꣄ꢬꢸ,ஜனநாயகம்
ꢙꢥꢵꢣꢶꢦꢡꢶ,ஜனாதிபதி
ꢏꢥ꣄ꢥꣁ,அவரைக்காய்
ꢂꢭ꣄ꢭꣁ,இஞ்சி
ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄,உருளைக்கிழங்கு
ꢮꢖ꣄ꢔꢶ,கத்திரிக்காய்
ꢒꣀꢭꢒꢾꢱꢸꢬ꣄,காய்கறி
ꢩꢙ꣄ꢙꢶ,கீரை
ꢪꣁꢳ꣄꣄ꢒꢳ꣄꣄,கீரைத்தண்டு
ꢤꢾꢫꢳꣁ,கீரைத்தண்டு
ꢒꢵꢬꢜ꣄,கேரட்
ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ,கொத்தவரைக்காய்
ꢤꢥꢶꢫꣁ,கொத்துமல்லிக் கீரை
ꢱꢾꢒ꣄ꢒꢬ꣄ꢒꢾꢳꢖ꣄ꢔꢸ,சக்கரைவள்ளிக் கிழக்கு
ꢓꣁꢮ꣄ꢳꣁ,சாம்பல் பூசணி
ꢩꣁꢮ꣄ꢳꣁ,சுரைக்காய்
ꢱꢸꢬꢠ꣄,சேனை
ꢱꢿꢦꢪꢹꢳ꣄,சேம்பு
ꢡꢒ꣄ꢒꢵꢭꢶ,தக்காளி
ꢗꣁꢮ꣄ꢳꣁ,தட்டைப்பயிறு
ꢂꢪ꣄ꢨ꣄ꢳꣁ,நெல்லிக்காய்
ꢒꢗ꣄ꢗꢾ ꢪꢶꢬꢶꢒ꣄ꢒꣀꢭꣁ,பச்சைமிளகாய்
ꢦꢜ꣄ꢜꢵꢠꢶ,பட்டாணி
ꢦꣁꢱ꣄ꢒꢵꢫ꣄,பறங்கிக்காய்
ꢒꢭ꣄ꢭꣁ,பாகற்காய்
ꢮꢣꢸꢥꢵ ꢩꢙ꣄ꢙꢶ,புதினா
ꢦꣁꢜ꣄ꢔꢸꢭꣁ,புடலங்காய்
ꢒꢵꢭꢶꢧꢶꢳꢮꢬ꣄,பூக்கோசு
ꢓꢾꢮ꣄ꢭꣁ,பூசனிக்காய்
ꢭꣁꢱꢥ꣄,பூண்டு
ꢒꣃꢭꢒꢾꢱꢸꢬ꣄,மரக்கறி
ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢶꢳꢖ꣄ꢔꢸ,மரச்சீனிக் கிழங்கு
ꢃꢭ꣄ꢮꢳꢶꢒ꣄ ꢒꢶꢳꢖ꣄ꢒꢸꢮ꣄,மரவள்ளிக் கிழங்கு
ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ,மாங்காய்
ꢪꢸꢜ꣄ꢜꣀꢒꣂꢱ꣄,முட்டைகோஸ்
ꢱꢾꢮ꣄ꢒꢵ ꢒꣀꢭꣁ,முருங்கைக்காய்
ꢪꢸꢳꣁ,முள்ளங்கி
ꢒꢗ꣄ꢗꢾꢒꢾꢳꣁ,வாழைக்காய்
ꢩꢾꢠ꣄ꢞꢶꢒꣀꢭꣁ,வெண்டைக்காய்
ꢂꢔꢱ꣄ꢡꢶꢬ꣄,வெண்டைக்காய்
ꢮꢭ꣄ꢒꣁ,வெள்ளரிக்காய்
ꢂꢪꢵꢱ꣄,அமாவாசை
ꢮꢬꢵ ꢒꢵꢭ꣄,இலையுதிர்காலம்
ꢱꢨ꣄ꢣꢸ,ஒலி
ꢦ꣄ꢬꢒꢵꢰ꣄,ஒளி
ꢮꢵꢡꢵꢮꢬꢥ꣄,காலநிலை
ꢮꢿꢳ꣄꣄,காலம்
ꢒꢵꢭ꣄,காலம்
ꢲꢶꢪꢸꢱ꣄,குளிர்
ꢲꢶꢪ꣄ꢳꣁ,குளிர்காலம்
ꢲꢶꢪꢸꢱꢹ ꢒꢵꢭ꣄,குளிர்காலம்
ꢲꢹꢥꢸꢒꢵꢭ꣄,கோடை காலம்
ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢒꢵꢭ꣄,கோடை காலம்
ꢲꢹꢥ꣄ꢥꣁ,சூடு
ꢱꢶꢳ꣄ꢳꣁ,தட்பம்
ꢯꢷꢡꢳ꣄,தட்பம்
ꢱꢷꢡꣂꢰ꣄ꢠꣁ,தட்பவெப்ப நிலை
ꢪꢸꢒꢸꢭ꣄ ꢮꢬꣁ,தென்றல்
ꢬꢸꢡꢸ,பருவம்
ꢬꢸꢡꢸ ꢦꣁꢮ꣄ꢱ꣄,பருவ மழை
ꢲꢶꢪꢸꢱ꣄ꢒꢵꢭ꣄,பனிக்காலம்
ꢲꢸꢪꢳꣁ,பனிக்காலம்
ꢦꢸꢠ꣄ꢠꢶꢪ꣄,பெளர்ணமி
ꢦꢹꢬ꣄ꢠꢶꢪꣁ,பெளர்ணமி
ꢮꢱꢥ꣄ꢡ ꢒꢵꢭ꣄,வசந்த காலம்
ꢮꢱꢥ꣄ꢡ ꢬꢸꢡꢸ,வசந்த காலம்
ꢏꢱ꣄ꢡꢵ ꢮꢬꣁ,வாடை
ꢲꢸꢥ꣄ꢥꣁ,வெப்பம்
ꢲꢹꢥꢸ ꢒꢵꢭ꣄,வேனிற்காலம்
ꢔ꣄ꢬꢷꢰ꣄ꢪ ꢬꢸꢡꢸ,வேனிற்காலம்
ꢂꢪ꣄ꢪꣁ,அம்மை
ꢓꢮ꣄ꢙꢵꢮ꣄,அரிப்பு
ꢓꢵꢱ꣄,அரிப்பு
ꢗꢶꢥꢲꢸ,அறிகுறி
ꢧꢜꢶꢥꢶ,அறுவை
ꢂꢙꢷꢬ꣄ꢥꢸ,அஜீரணம்
ꢱꣃꢒ꣄ꢫꢪ꣄,ஆரோக்கியம்
ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ,ஆஸ்பத்திரி
ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ,ஆஸ்பத்திரி
ꢓꣁꢮ꣄ꢭꣁ,இருமல்
ꢱꢮ꣄ꢬꢶꢫꢪ꣄,உடல் நலம்
ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄,சுளுக்கு
ꢄꢥ꣄ꢒꢶꢥꢶ,சுளுக்கு
ꢩꢸꢬꢸꢩꢸꢬꢵꢭ꣄,ஊரல்
ꢦꢬꢸꢒꢾꢬ꣄ꢥꢶ,எதிர்விளைவு
ꢙꢵꢳ꣄,எரிச்சல்
ꢲꢜ꣄ꢒꣁ ꢪꢸꢞꢶꢥꢶ,எலும்பு முறிவு
ꢲꣁꢥꢵꢱ꣄ꢡꢾ,ஒவ்வாமை
ꢗꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ,ஒவ்வாமை
ꢤꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ,ஒவ்வாமை
ꢮꢪꢶ,கக்கல்
ꢏꢔꢬꢶ,கக்கல்
ꢮꢵꢥ꣄ꢣꢶ,கக்கல்
ꢬꢾꢔꢡ꣄ ꢔꢾꢳ꣄꣄ꢥꢶ,ரத்தகசிவு
ꢣꣁꢳꢵ ꢣꢸꢮ꣄ꢥꣁ,கண்வலி
ꢔꢾꢬꢳ꣄,கபம்
ꢔꢬ꣄ꢩꢸ ꢲꢵꢥꢶ,கருச்சிதைப்பு
ꢔꢬ꣄ꢩꢸ ꢥꢶꢬꣁꢣ꣄,கருத்தடை
ꢭꢮꢥ꣄ ꢲꣁꢔꢡ꣄,களிம்பு
ꢱꢷꢥ꣄,களைப்பு
ꢲꢜ꣄ꢒꣂ ꢡꢶꢙꢫ꣄ꢥꢶ,காசநோய்
ꢒꢵꢥꢸ꣄ ꢣꢸꢮ꣄ꢥꣁ,காதுவலி
ꢒꢪꢵꢭ꣄,காமாலை
ꢃꢖ꣄ꢔꢸ ꢲꢸꢥ꣄ꢥꣁ,காய்ச்சல்
ꢡꢵꢦ꣄,காய்ச்சல்
ꢦꢵꢄ~ ꢃꢠꢶ,காலாணி
ꢒꢺꢪꢶ ꢥꢵꢱꢶꢥꢶ,கிருமிநாசினி
ꢦꢶꢱꣁ,கிறுக்கு
ꢂꢥ꣄ꢡ꣄ꢬꢵꢪꢸ ꢓꢙ꣄ꢙꢸ,குடற்புண்
ꢮꢵꢪꢶ,குமட்டல்
ꢏꢔꢬꢶ,குமட்டல்
ꢔꣁꢳꢶ,குளிகை
ꢦꢷꢦ꣄,"சலம், சீழ்"
ꢦꣁꢜ꣄ꢱꢾ,சளி
ꢱꢶꢒꢶꢡ꣄ꢱꣁ,சிகிச்சை
ꢓꢙ꣄ꢙꢸ,சிரங்கு
ꢣꢾꢮꢶ,சின்னம்மை
ꢪꢭꢦ꣄ꢬꢮꢵꢲꢪ꣄,சீதபேதி
ꢦꢷꢦꢸ ꢔꢾꢞ꣄ꢞꣁ,சீழ்க்கட்டி
ꢄꢠ꣄ꢒꢶꢥꢶ,சுளுக்கு
ꢱꢾꢮꢒꢷ,செவிலி
ꢱꢸꢱ꣄ꢬꢸꢱꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,செவிலி
ꢓꢵꢱ꣄ꢦꣁꢜ꣄ꢜꢸ,சொறி
ꢓꢵꢱ꣄ꢓꢙ꣄ꢙꢸ,சொறி சிரங்கு
ꢧꢸꢔ꣄ꢥꢶ,தடிப்பு
ꢙꢵꢒ꣄ꢬꢡ ꢱꢶꢮꢶ ꢲꣁꢒꢡ꣄,தடுப்பு ஊசி
ꢙꢵꢒ꣄ꢬꢡ ꢲꣁꢒꢡ꣄,தடுப்பு மருந்து
ꢣꣁꢱ꣄ꢒꢵ ꢣꢸꢮ꣄ꢥꣁ,தலைவலி
ꢱꢶꢔꢶꢬ꣄,தும்மல்
ꢱꢶꢔꢸꢬ꣄,தும்மல்
ꢱꢷꢒ꣄,தும்மல்
ꢱꢶꢮ꣄ꢥꢶ,தையல்
ꢡꢾꢫ꣄ꢭ꣄,தைலம்
ꢬꣁꢔ꣄ ꢦꢾꢬ꣄ꢦꢶꢥꢶ,தொற்று
ꢤꢾꢭ꣄ꢥꢶ ꢮ꣄ꢫꢵꢤꢶ,தொற்று நோய்
ꢒꢾꢠ꣄ꢞꢵ ꢬꣂꢒ꣄,தோல் நோய்
ꢱꢾꢒ꣄ꢒꢬꢸ ꢒꣁꢳꢵꢬ꣄,நீரிழிவு
ꢮꢶꢫꢵꢣꢶꢱ꣄ꢢꢸ,நோயாளி
ꢬꣂꢔꢶ,நோயாளி
ꢬꣂꢔ꣄ ꢔ꣄ꢬꢱ꣄ꢡꢶ,நோயாளி
ꢣꢸꢮ꣄ꢥꣁ,நோவு
ꢦꢬ꣄ꢱ ꢮꢵꢫꢸ,பக்கவாதம்
ꢦꢵꢬ꣄ꢱ꣄ꢮ ꢮꢵꢫꢸ,பக்கவாதம்
ꢒꢶꢜꢵꢗꢸꢜ꣄ꢜꢸ,படர்தாமரை
ꢓꢵꢱ꣄,படை
ꢪꣁꢞ꣄ꢪꢾ,பரு
ꢪꣁꢠ꣄ꢪꢾ,பரு
ꢣꢵꢣꢸ ꢣꢸꢮ꣄ꢥꣁ,பல்வலி
ꢣꢵꢣꢸ ꢦꣁꢭ꣄ꢭꢪ꣄,பற்குழி
ꢦꢾꢫ꣄ꢡ꣄ꢡꢸ,பித்தம்
ꢙꢬ꣄ꢒꢾꢪ꣄,பிரசவம்
ꢙꢬ꣄ꢒꢾꢪꢸꢣꢸꢮ꣄ꢥꣁ,பிரசவவலி
ꢦꢭ꣄ꢭꢶꢥꢶ ꢣꢸꢮ꣄ꢥꣁ,பிரசவவலி
ꢦ꣄ꢬꢱꢮ ꢮꢾꢣꢥꣁ,பிரசவவலி
ꢆꢦꢩꢵꢤꣁ,பின்விளைவு
ꢆꢨꢵꢤꢒꣁ,பின்விளைவு
ꢆꢦꢵꢤꣁ,பின்விளைவு
ꢧꢭ꣄ꢗꢵ ꢨꢵꢤꣁ,பின்விளைவு
ꢓꢙ꣄ꢙꢸ,புண்
ꢦꢶꢱꣁ,பைத்தியம்
ꢗꢸꢠ꣄ꢜꢸꢭ꣄,பொடுகு
ꢭꢷꢒ꣄,பேன்முட்டை
ꢪꣁꢱ꣄ꢒꢭ꣄,மசக்கை
ꢪꢾꢖ꣄ꢒꢶꢥꢶ,மயக்கம்
ꢮꣀꢣ꣄ꢫꢪ꣄,மருத்துவம்
ꢮꢣ꣄ꢫ ꢯꢵꢭꣁ,மருத்துவமனை
ꢪꢭ ꢨꢥ꣄ꢤꢪ꣄,மலச்சிக்கல்
ꢪꣁꢥ꣄ꢥꢸ ꢒꣁꢳꢵꢬ꣄,மனநோய்
ꢔꣁꢳꢶ,மாத்திரை
ꢩꢬꢵꢜ꣄ ꢦꢶꢱꢡ꣄ꢡꢾ,மாதவிடாய்
ꢣꢹꢬ꣄ ꢬꢴꢥꢶ,மாதவிடாய்
ꢲꢿꢪꢸ ꢣꢸꢮ꣄ꢥꣁ,மார்புவலி
ꢔꢸꢠ꣄ꢜꢾꢪ꣄ ꢕꢵꢪ꣄,மாரடைப்பு
ꢧꣀꢭꣁ ꢏꢫ꣄ꢡꢦ꣄ꢦꢥ꣄,முதலுதவி
ꢪꢸꢞ꣄꣄ꢥꢶ,முறிவு
ꢔꢸꢞ꣄꣄ꢒꢵꢪ꣄ ꢣꢸꢮ꣄ꢥꣁ,மூட்டுவலி
ꢪꢹꢭꢪꢸ ꢒꣁꢳꢵꢬ꣄,மூலநோய்
ꢬꢾꢔꢡ꣄ ꢮꢿꢔ꣄,ரத்த அழுத்தம்
ꢬꣁꢪꢣꢸ ꢨꢶꢱ꣄ꢱꣁ,ரத்த அழுத்தம்
ꢬꢾꢔꢡꢸ ꢲꢷꢥ꣄,ரத்தச் சோகை
ꢭꢿꢒꢶꢫꢪ꣄,லேகியம்
ꢮꢭꢶꢮ꣄,வலிப்பு
ꢪꣁꢳꢶꢶ ꢣꢸꢮ꣄ꢥꣁ,மூட்டுவலி
ꢪꢸꢭꢪꢸꢒ꣄ ꢒꣁꢳꢵꢬ꣄,மூலனோய்
ꢮꢪ꣄ꢥꢶ,வாந்தி
ꢡꣂꢠꢹꢓꢙ꣄ꢙꢸ,வாய்ப்புண்
ꢮꢵꢫꢹ,வாய்வு
ꢄꢱ꣄ꢒꢶ,விக்கல்
ꢱꢹꢡ꣄,வீக்கம்
ꢨꢸꢬꢸꢞꣁ,வீக்கம்
ꢧꢸꢔ꣄ꢥꢶ,வீக்கம்
ꢨꢵꢣꣁ,வேதனை
ꢲꢶꢬ,ஆரஞ்சு
ꢥꢡ꣄ꢡꢭ꣄,இரத்தச்சிவப்பு
ꢒꣁꢪ꣄ꢨꢳꢮꢥꢶ,இளநிறம்
ꢒꣁꢪ꣄ꢨꢳ ꢦꣁꢭ꣄ꢱꣁ,இளம் பச்சை
ꢙꢾꢪ꣄ꢨ꣄ꢳ,ஊதா
ꢒꢳꣁ,கருநிறம்
ꢥꢶꢳꣁ,கருநீலம்
ꢕꢾꢞꢶ ꢦꣁꢭ꣄ꢱꣁ,கரும்பச்சை
ꢒꢳ,கறுப்பு
ꢒꢵꢰ꣄ꢜꢸ,காவி
ꢬꢪꢵ ꢦꣁꢭ꣄ꢱꣁ,கிளிப்பச்சை
ꢱꢶꢬ꣄ꢒ꣄ꢒꢥ꣄,சந்தணம்
ꢤꢹꢪ꣄ꢮꢥꢶ,சாம்பல்
ꢭꢴꣁꢮ꣄ꢮꣁ,சிவப்பு
ꢮꢥꢶ,நிறம் / வண்ணம்
ꢯ꣄꣄ꢫꢵꢪꣁ,நீலம்
ꢥꢶꢭ,நீலம்
ꢦꣁꢭ꣄ꢱꣁ,பச்சை
ꢂꢳ꣄ꢞꢸꢥꣁ,மஞ்சள்
ꢆꢙꢵꢳ꣄,வெள்ளை
ꢂꢦꢱꢾꢔꢸꢥ꣄,அபசகுனம்
ꢂꢪꢖ꣄ꢒꢭꢸ,அமங்கலம்
ꢪꢖ꣄ꢔꢭ ꢲꢶꢥ꣄,அமங்கலம்
ꢨꣁꢮ꣄ꢥꢶ ꢦꢡ꣄ꢬꢶꢒꣁ,அழைப்பிதழ்
ꢱ꣄ꢮꢵꢔꢡ ꢦꢡ꣄ꢬꢶꢒꣁ,அழைப்பிதழ்
ꢥꢶꢪꢥ꣄ꢡ꣄ꢬꢥ ꢦꢡ꣄ꢬꢶꢒꣁ,அழைப்பிதழ்
ꢨꣁꢮ꣄ꢥꢶ,அழைப்பு
ꢂꢗꢵꢬ꣄,ஆசாரம்
ꢣꢷꢮꢥꣁ,ஆசீர்வாதம்
ꢃꢱꢶꢬ꣄ꢮꢵꢣ꣄,ஆசீர்வாதம்
ꢆꢦꢮꢵꢱ꣄,உபவாசம்
ꢏꢔꢡ꣄,உபவாசம்
ꢔꣁꢬꢸ ꢤꢾꢬ꣄ꢥꢶ,ஏறுதழுவல்
ꢣꣁꢳꢵ ꢣꢶꢰ꣄ꢜꢶ,கண்ணேறு
ꢣꢺꢰ꣄ꢜꢶ,கண்ணேறு
ꢣꣁꢭ ꢦꣁꢞꢱ꣄ꢡꢾ,கண்ணேறு
ꢲꣁꢬꢵꢜ꣄,கல்யாணம்/திருமணம்
ꢮꢶꢮꢵꢲꣁ,கல்யாணம்/திருமணம்
ꢦꢵꢠꢶ ꢔꢺꢲꢠꣁ,கல்யாணம்/திருமணம்
ꢙꣁꢮꢳ꣄꣄,காதணிவிழா
ꢒꢵꢥ꣄ ꢮꢶ,காதணிவிழா
ꢪ ꢶꢥ꣄ꢡꢶꢥꢶ,காதணிவிழா
ꢪꢴꢹꢬ꣄ꢡꢸ ꢓꢵꢪ꣄ꢦꢸ ꢱ꣄ꢢꢵꢦꢥꣁ,கால்நடுதல்
ꢒꢸꢭ ꢮꣁꢕꢭꢱ꣄ꢡꢾ,குரவையிடுதல்
ꢚꢠ꣄ꢞꢮ꣄ ꢲꢶꢖ꣄ꢔꢞ꣄ꢠꢶ,கொடி யேற்றுதல்
ꢪꢸꢔ꣄ꢔꢸ,கோலம்
ꢱꢾꢔꢸꢥ꣄,சகுனம்
ꢱꢪ꣄ꢱ꣄ꢒꢵꢬ꣄,சடங்கு
ꢱꢶꢬ꣄ꢒ꣄ꢒꢠꢸ ꢂꢪ꣄ꢨꢶꢭ꣄,சந்தனக் குழம்பு
ꢦ꣄ꢬꢿꢣꢸꢒ꣄ ꢔꢞ꣄ꢠꢶ,சவ அடக்கம்
ꢦ꣄ꢬꢾꢡ꣄ ꢢꣁꢮꢥ꣄ ꢱ꣄ꢢꢵꢥ꣄,சவக்கிடங்கு
ꢦ꣄ꢬꢾꢣꢸꢦꣁꢭ꣄ꢭꢪ꣄,சவக்குழி
ꢦ꣄ꢬꢾꢣꢸ ꢔꢬ꣄ꢡꣁ,சவக்குழி
ꢦ꣄ꢬꢾꢣꢸꢦꢾꢞꢶ,சவப்பெட்டி
ꢩꣁꢬꢠꢶ,சிமிழ்
ꢱꢶꢥ꣄ꢣꢪ꣄,சீமந்தம்
ꢱꢶꢔ꣄ꢬꢪ꣄,சீர்
ꢦꣁꢭꣁ,சொப்பு
ꢛꢵꢥꢱ꣄ꢥꢵꢥ꣄,ஞானஸ்நானம்
ꢣꢲꢥꣁ,தகனம்
ꢡꢒ꣄ꢰ꣄ꢠꣁ,தட்சிணை
ꢡꢪ꣄ꢦꢡꢶ,தம்பதி
ꢭꢾꢗ꣄ꢗꢾ,தாயத்து
ꢣꣁꢬꢶꢪ꣄ ꢨꣁꢜ꣄ꢜꢸ,தாலி
ꢪꢵꢖ꣄ꢔꢭ꣄ꢫꢸ,தாலி
ꢨꣁꢜ꣄ꢜꢸ ꢩꢥ꣄ꢣꢶ,தாலி கட்டு
ꢲꣁꢬꢵꢜꢸ ꢱꢶꢔ꣄ꢬꢪ꣄,திருமண அன்பளிப்பு/பரிசு
ꢲꣁꢬꢵꢜꢸ ꢩꣁꢔꢸꢪꢵꢥꢶ,திருமண அன்பளிப்பு/பரிசு
ꢲꣁꢬꢵꢜꢸ ꢪꢠ꣄ꢣꢦ꣄,திருமண மண்டபம்
ꢡꢶꢥ꣄ꢥꢵꢳ꣄꣄,திருநாள்
ꢱꢸꢦ ꢮꣀꢩꢮ꣄,திருநாள்
