example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
அவ்ரெ பா3க் தௌ4ராம் ம்ஹொட்டப்பன் அப்3பெ3ஸி,Our father was honored in the temple,எங்கள் தந்தைக்கு கோவிலில் கௌரவம் கிடைத்தது
தெனு விதே3ஶும் உஜ்யாத்தெனு,He was born abroad,அவர் வெளிநாட்டில் பிறந்தவர்
ஹிந்தொ3 மொரெ பெ3டி3க் உஜ்ஜெதி3ன்னு,Today is my daughter's birthday,இன்று என் மகளின் பிறந்தநாள்
ஜிவ்னி கொ2ப்3பி3ம் தி2ரன் ஹொயெயொ ந்ஹா,Life is not always permanent,வாழ்க்கை எப்போதும் நிரந்தரமானது அல்ல
ஜித்ரவும் ஒண்டால் தி3 கஸிக் ஜீலி அவ்னொ,Should visit Varanasi at least once in lifetime,வாழ்நாளில் ஒருமுறையாவது வாரணாசிக்கு சென்றுவர வேண்டும்
ஜிவ்ணமுக் காய் கெரரியொ?,What do you do for a living?,வாழ்வாதாரத்திற்கு என்ன செய்கிறீர்கள்?
ரோக்3 அவெ குடி3னுக் ஜிவ்த3ஜீவ் ஜள்தியா,Diseased chickens were burned alive,நோய்வாய்ப்பட்ட கோழிகளை உயிருடன் எரித்தனர்
த்4ருவொ ப்ராந்தும் ஜிவி ர்ஹாத்தெ ல்ஹெகூ3 ந்ஹா,Survival in the polar region is not easy,துருவப் பகுதியில் உயிர்வாழ்வது எளிதானது அல்ல
அத்தொ மெனிகுனு ஆயு ரமாரமி 65 ஒர்ஸுனு,At present human life span is about 65 years,தற்போது மனிதனின் ஆயுட்காலம் சுமார் 65 ஆண்டுகள்
ஸாத் ஜெலும் ஹெடெ3த்மெள்ளி எல்லெ பாப் ஹிட்டுனா,"Even if one takes seven births, this sin will not be removed",ஏழு ஜன்மம் எடுத்தாலும் இந்தப் பாவம் நீங்காது
அஸ்கி சா2ளினும் மெனிகு சா2ளீஸ் மேடு,Human birth is the best of all births,எல்லா பிறவிகளிலும் மனித பிறவியே சிறந்தது
சொக்கட் ஜித்ரவ் மெனரியொ பு2ள்ளா ஜித்ரவு போ2ளு,A good life is the result of a previous life,நல்ல வாழ்க்கை என்பது முந்தைய வாழ்க்கையின் விளைவு
பு2ள்ளா ஜெலுமு கெரும் ஒவேளும் ஸுட்டனி,The karma of the previous birth never goes away,முற்பிறவியின் கர்மம் ஒருபோதும் விலகுவதில்லை
அநாதி3 மொடா3க் அந்திம கார்யம் கெரத்தெ பவித்ரம் ஹொயெயொ,Cremation of an orphan's body is sacred,அனாதையின் சடலத்தை தகனம் செய்வது புனிதமானது
ரோக்3கெரி மொரண்ஜிவன் பொடி3 ஸே,The patient is in critical condition,நோயாளி ஆபத்தான நிலையில் உள்ளார்
மொரன் மெனெத் அஸ்கிதெங்கொ3 தா4குஸ்,Death is feared by all,மரணம் என்றால் அனைவருக்கும் பயம்
தெங்கொ3 போ3 ஹிந்தொ3 பரம்பொந்தி3யாஸ்,His father passed away today,அவரது தந்தை இன்று காலமானார்
மொரெ ஒஸ்து பரம்பொந்த3யொ மொரனு ஸமாசாரும் ர்ஹீ களள்யஸ்,I learned about my relative's death through an obituary,எனது உறவினர் இறந்ததை இரங்கல் செய்தி மூலம் அறிந்தேன்
தெங்க3 பா3 வெளு ஸொந்தொ3 தொ2வ்ல்ராஸ்,His father's funeral will be held tomorrow,அவரது தந்தையின் இறுதிச்சடங்கு நாளை நடைபெறுகிறது
ஸொந்தொ3 மொரெ ஐங்கெ3ரம்பா3க் ஒத்3தெ3ஸொ,Tomorrow is my grandmother's first death anniversay,நாளை என் பாட்டியின் முதலாம் ஆண்டு திவசம்
வர்த3ஸாக் ப3ந்து4னுக் பொ3வ்யாஸி,We invited relatives for the first death anniversary,முதலாம் ஆண்டு திவசதிற்கு உறவினர்களை அழைத்தோம்
ஒர்ஸு ஒர்ஸு திதி தெ3னொ,Death anniversary should be performed every year,ஒவ்வொரு வருடமும் திவசம் செய்ய வேண்டும்
ஆத்மாக் லயம் ஜுண்ணா,Soul has no death,ஆத்மாவுக்கு மரணம் இல்லை
கலியுகொ3 முஸெத்திக்காம் அஸ்கி நாஸ்தி ஹொய்யாய்,"When the Kaliyuga ends, everything will perish",கலியுகம் முடிந்ததும் அனைத்தும் அழிந்துவிடும்
ஸனாதன தெ4ரும் கொ2ப்3பி3ம் நஸினி ஹோனா,Sanatana dharma will never doom,சனாதன தர்மம் எப்போதும் அழியாது
அகா3ர் ருசிகன் ஒண்டெ ந்ஹா ஹொக3த்கன் மெல்லொ ர்ஹனொ,Food should not only be delicious but also medicinal,சாப்பாடு சுவையாக மட்டுமல்ல மருந்தாகவும் இருக்க வேண்டும்
பில்லன்னுக் தே3ரியொ கௌ2ணம் போஷணொகன் ர்ஹனொ,Food given to children should be nutritious,குழந்தைகளுக்கு கொடுக்கப்படும் உணவு சத்தானதாக இருக்க வேண்டும்
ஹுரிக் ஜாரியொ பில்லல்னுன் நாஸ்தொ கெரனின்,School going children do not eat breakfast,பள்ளி செல்லும் குழந்தைகள் காலை உணவை சாப்பிடுவதில்லை
து4வாரி பா4த் கா2த்தக் கோட் ஜியென்?,Where to go for lunch?,மதிய உணவிற்கு எங்கு செல்லலாம்?
வீள்டாக் ஸ்தான்பான் கெர்த்தி நிகு3ளுவாய்,You can leave in the evening after taking tiffin,மாலையில் சிற்றுண்டியை முடித்துவிட்டு கிளம்பலாம்
ராஜ்ஜெமனுக் அவ்ரெ கே4ர் அவ்டு3வொ,Come to our house for dinner,இரவு உணவிற்கு எங்கள் வீட்டிற்கு வந்துவிடுங்கள்
பூ4கும் ஹாத் பாய்ஞ் ஒண்ட்கரஸ்,Hands and feet tremble with hunger,பசியால் கை கால் நடுங்குகிறது
போடுஞ்ஜாள் அவெ ப2ரொ கா2த்தெ ப3ரொ,It is better to eat after feeling hungry,பசி எடுத்த பிறகு சாப்பிடுவது நல்லது
வாரும் ஒண்டால் பு4க்கொ ர்ஹாத்தெ சொக்கடு3,It is good to starve one day a week,வாரத்தில் ஒரு நாள் பட்டினி கிடப்பது நல்லது
பு4க்லாக் ருசி களானா,A hungry person does not know taste,பசித்தவனுக்கு சுவை தெரியாது
கய்லொகெஸுர் ஸொம்மர் பொ4ஸுலொ க2னார் வேன் ஹொய்யா,Meat eaters have become more than vegetables,காய்கறிகளை விட மாமிசம் சாப்பிடுபவர்கள் அதிகமாகி விட்டனர்
அஸ்கியொ கா2த்தெங்கொ3 ஸர்வ ப4க்ஷக் மெனன்,Those who eat everything are called omnivores,அனைத்தையும் உண்ணுபவர்களை அனைத்துண்ணி என்பர்
தெ2வ்டெ3 ப4ஜ்ஜிக2னாருன் அண்டொ3 கா2ஸுன்,Some vegetarians eat eggs,சில சைவ உணவு உண்பவர்கள் முட்டை சாப்பிடுவார்கள்
தெ2வ்டெ3 பொ4ஸுலொக2னாருன் து3க்கரு சைனொ கா2னின்,Some non vegetarians do not eat pork,சில அசைவ உணவு உண்பவர்கள் பன்றி இறைச்சியை உண்பதில்லை
தீ2ன் பூட் பா4துக் இக்கொ கெஷ்டம் பொட்3ன ஹோஸ்,How much have to suffer for three meals,மூன்று வேளை உணவுக்கு எவ்வளுவு கஷ்டப்பட வேண்டியுள்ளது
தௌ4ராம் பொங்க3ல் ம்ஹொட்டொ கா4ஸ்கன் தே3ஸுன்,Pongal is served in a big ball in the temple,கோவிலில் பொங்கலை பெரிய உருண்டையாக கொடுப்பார்கள்
தீளு உண்டா3க் அஸ்கி ஒர்ஸு கெரின் க2வாயி,People of all ages can eat sesame balls,எள்ளு உருண்டையை அனத்து வயதினரும் சாப்பிடலாம்
பொ3ர்க்குலு உண்டா3க் பில்லல்னுன் ப்ராமொ பொடி3 கா2ஸுன்,Children love to eat fried balls,பொரி உருண்டையை குழந்தைகள் விரும்பி சாப்பிடுவார்கள்
அங்கு3 ரொவ்வொ பா4த் தாய்,Put some more rice,இன்னும் கொஞ்சம் சோறு போடு
அத்தொ அஸ்கி கோன் ஸில்லபா4த் கா2ராஸ்?,Who eats stale meal these days?,இப்போதெல்லாம் யார் பழையசோறு சாப்பிடுகிறார்கள்?
ஆங்கு3 ஹுன்னொ ஸுட்டலெங்கு3 கென்னி பேஸ் ஒண்டேஸ்,Only rice porridge until the fever subsides,காய்ச்சல் விடும்வரை நொய்க்கஞ்சி மட்டும் தான்
பெ3ய்லனுக் கேடு பொ3லமுக் உடி3து3 ஸுகு3ட் தே3னு,"For women, they give dal pudding to strengthen their hips",பெண்களுக்கு இடுப்பு பலத்திற்கு உளுந்து களி கொடுப்பார்கள்
ஆடி3 ம்ஹடா3ம் மாரியம்மா தௌ4ராம் அம்பி3ல் தே3ஸுன்,"In the month of Aadi, they serve gruel in the Mariamman temple",ஆடி மாதம் மாரியம்மன் கோவிலில் கூழ் ஊற்றுவார்கள்
ஸோகும் பனி மெல்லொ அம்ருத் ஸொகன் லக3யி,Even water seems like elixir in thirst,தாகத்தில் தண்ணீர் கூட அமுதம் போல் தெரியும்
பு4க்லாக் ஸுக்கெ ரொட்டி மெல்லொ ரும்பி,Even dry bread is elixir for the hungry,பசித்தவனுக்கு காய்ந்த ரொட்டியும் அமுதம்
ஸெவாக்கய்லா ஸம்பா4ர் ருசிகன் ஸே,Drumstick sambar is delicious,முருங்கைக்காய் சாம்பார் ருசியாக உள்ளது
அவ்ண்டி தீ3தி3 ஹொயெத் மெள்ளி நஜ்ஜானி,The tamarind gravy does not spoil even for two days,புளிக்குழம்பு இரண்டு நாளானாலும் கெடுவதில்லை
அம்டி ககொ3 கொடு3 லக3ரியோ?,Why does tamarind gravy taste bitter?,புளிக்குழம்பு ஏன் கசப்பாக இருக்கிறது?
கொ3ஜ்ஜு ஸெர்க்க தப்பிரனி. தாடொ3 ஸே !,The tamarind gravy is not boiled properly. It is watery!,புளிக்குழம்பு சரியாக கொதிக்கவில்லை. தண்ணீராக இருக்கிறது !
கொள்கர்யா? வஸுனொ துக்கரஸ் !,Chilli gravy? Smells good!,காரக்குழம்பா? வாசனை நன்றாக வருகிறது !
மிரி கொள்கர் வேன் ஸொட்3லியெத் போட் து3க்காய்,Pouring too much pepper broth will cause stomach ache,மிளகு குழம்பு அதிகம் ஊற்றினால் வயிறு வலிக்கும்
லொஸனு கொள்கர் போட்பு2கி3க் சொக்கடு3,Garlic gravy is good for flatulence,பூண்டு குழம்பு வாய்வுக்கு நல்லது
ஜு2கு3 தெனு ஐதார்தி3 சைனா அவ்ண்டி கெரஸுனு,Many people make mutton gravy on Sunday,நிறைய பேர் ஞாயிறன்று கறிக்குழம்பு செய்கிறார்கள்
ப4ஜ்ஜி சாரு ருசி கொம்மன்கன் ர்ஹாயி,Spinach gravy tastes unfermented,கீரைக் குழம்பு இளஞ்சுவையில் இருக்கும்
தெ4ய்ஞ் அவ்ண்டிம் பி3ஜ்ஜெ வடொ3 ருசிகன் ர்ஹாயி,Donut soaked in whey gravy is delicious,மோர்க்குழம்பில் ஊறிய வடை சுவையாக இருக்கும்
தெ4ஞி அம்டி ரொவ்வொ கெ4டி3ம் கெர்த்துவாய்,Whey gravy can be made in little time,மோர்க்குழம்பை சிறிது நேரத்தில் செய்துவிடலாம்
ஒதெனுன் திம்டிக் போ3னிம் சொட்3லி பேஸுன்,Some people pour Indian soup into a tumbler and drink it,சிலர் ரசத்தை குவளையில் ஊற்றி குடிக்கிறார்கள்
ஜெமனு பிள்சார் பெ4ளி ருசிகன் ர்ஹாயி,Indian soup is very delicious in wedding feast,திருமண விருந்தில் ரசம் மிகச் சுவையாக இருக்கும்
சீஸ் அம்டி ஜீர்ணுக் ஸஹாவ் கெரயி,Indian soup helps in digestion,ரசம் செரிமானத்திற்கு உதவும்
ஒதெனுன் கெட்டு பிள்சார் ஒண்டேஸ் ஸொட்3லன்,Some people take only lentle Indian Soup,சிலர் பருப்பு ரசம் மட்டுமே ஊற்றிக்கொள்வார்கள்
ஜு2கு3தெங்கொ3 தெ4ய்ஞ் அம்ப3ட்கன் ர்ஹியெதி3ஸ் ஒப்பாய்,Many people like yogurt only if it is fermented,பலருக்கு தயிர் புளித்திருந்தால் தான் பிடிக்கும்
தெ4ஞி அம்ப3ட்கன் ர்ஹியெத் மீட் செர்ச்சுல்னொ,Add salt if curd is sour,தயிர் புளிப்பாக இருந்தால் உப்பு சேர்க்கவேண்டும்
தின்னாள் வேள் தெ4ய்ஞ் பனி மௌடொ3 தக3ஸுன்,During the festival they put up buttermilk bunting,திருவிழாவின் போது மோர் பந்தல் போடுவார்கள்
ஹூனுகலமு தெ4ஞி பனி பேத்தெ சொக்கடு3,It is good to drink buttermilk in summer,வெயில்காலத்தில் மோர் குடிப்பது நல்லது
தாகு வேன் பியெத் ஹக்3கு3னொ ஹொய்யாய்,Drinking too much buttermilk can cause diarrhoea,மோர் அதிகம் குடித்தால் வயிற்றுப்போக்கு ஏற்படும்
தூ3த் சொக்கட் அடாத்திஸொ தப்படி3 கெ2ரஸ் கெரஸுன்,Cottage cheese is made by boiling milk thoroughly until it coagulates,பால் நன்றாக சுண்டும்படி கொதிக்க வைத்து பாலாடை செய்கிறார்கள்
தெ4ய்ஞிக் கு3ஸிலி லொனி ஹெட3ஸுனு,Butter is extracted by churning the curd,தயிரைக் கடைந்து வெண்ணெய் எடுப்பார்கள்
சோட் தூப் இக்கெதி3 ஹொயெத் மெல்லொ நஜ்ஜானா,Ghee does not go bad no matter how long it lasts,நெய் எவ்வளவு நாள் ஆனாலும் கெடாது
"துங்கொ3 கய்லொகெஸுர் க2வ்னம்தி3, ரெஸ்ஸுதி3 காய்தி3 பஜெயா?",Would you like some salad or soup ?,உங்களுக்கு காய்கறி உணவு அல்லது சாறு ஏதாவது வேண்டுமா?
ஹிந்தொ3 அவ்ரெ கொ4ம்மொ பொட்கு3லா குட்கிரி,"Today, we have bottle gourd curry at home",இன்று எங்கள் வீட்டில் புடலங்காய் கூட்டு
துங்கொ3 க3வுரு பொள்டினி ஒப்பாய்யா?,Do you like carrot fries?,உங்களுக்கு காரட் பொரியல் பிடிக்குமா?
தெள்னியொ க2யெத் பா4ர் தக3யி,"Eating something deep fried in oil, will gain weight",எண்ணெயில் பொரித்ததை சாப்பிட்டால் எடை போடும்
பொ2ன்னிஞ்சென்னாக் ஹுலாம் பு4ஞ்ஜனு,Corn is roasted on fire,சோளத்தை நெருப்பில் வறுப்பார்கள்
கென்னுனுக் அம்ப3ட் கெரி பா4த் ஸெரொ கா2ஸுனு,Grains are cooked as curry masala and eaten with food,தானியங்களை கறியாக சமைத்து உணவுடன் சாப்பிடுகிறார்கள்
கச்சென்னா அம்ப3ட் ரொவ்வொ கெ4டி3ம் ஸெஜ்ஜாய்,The chickpea curry runs out in no time,கொண்டைக்கடலை கறி சிறிது நேரத்தில் தீர்ந்துவிடும்
வாரும் ஒண்டெதி3 கென்னு அம்ப3ட் கெர்னொ,One day in a week should make Lima beans curry,வாரத்தில் ஒரு நாள் மொச்சைப் பயறு கறி செய்யவேண்டும்
ஜெமனும் ராஜ்மா அம்ப3ட் ஹொவ்ட்3யாஸி,Kidney bean curry was served at the feast,விருந்தில் சிவப்பு காராமணி கறி பரிமாறினார்கள்
"பு3ள்ளா அம்ப3ட் பை4ரி, சப்பாத்தி ஸெரொ மெல்லொ க2வாயி",Potato curry can be eaten with poori and chapati,"உருளைக்கிழங்கு கறியை பூரி, சப்பாத்தியுடனும் சாப்பிடலாம்"
அம்ப3ட் பா4துக் சொவ்ளா பொள்டினி தொ2வனு,Red cowpea fries is served with tamarind rice,புளியோதரையுடன் தட்டாம் பயறு பொரியல் வைப்பார்கள்
உத்தர் பா4ரதும் சப்பாத்தி ஸெரொ தா3ல் ஒத்திலி கா2ஸுன்,"In North India, chapatis are eaten with lentil curry",வட இந்தியாவில் சப்பாத்தியை பருப்பு கூட்டு தொட்டு சாப்பிடுவார்கள்
தா3ல் பனிகின் தூப் ஸொட்3லி பா4த் கா2ஸுனு,People eat rice with lentil stew and ghee,பருப்பு மற்றும் நெய்யுடன் சாதம் சாப்பிடுவார்கள்
கொள்கர் ஸெரொ சென்னா தா3ல் செரி ஜாஸு,Roasted gram curry with Chilli gravy goes well,காரக்குழம்புடன் பொட்டுக்கடலை துவையல் நன்றாக இருக்கும்
அம்பு3லாக் சொக்கட் லுப்3பி3கின் லுப்3பி3ன் கெரஸுன்,Gooseberry paste made by mashing Gooseberry well,நெல்லிக்காயை நன்றாக மசித்து நெல்லிக்காய் மசியல் செய்கிறார்கள்
பிள்சாரு பா4த் ஸெரொ லிப்3பி3ன் ருசிகொ ர்ஹாஸு,Gooseberry paste is delicious with rasam rice,ரசம் சாதத்துடன் நெல்லிக்காய் மசியல் சுவையாக இருக்கும்
"ப2லார், தி4டொ3 ஸெராடி3 லொஷ்டொ தொ2வ்லி கா2ஸுனு",People take mint curry with idli and dosa,"இட்லி, தோசையுடன் புதினா துவையலை வைத்து சாப்பிடுகிறார்கள்"
தெ4ய்ஞ் பா4த் ஸெரொ காய் கெ3ஸி பயெத் தொ2வ்லுவாய்,You can have any pickle with curd rice,தயிர் சாதத்துடன் எந்த ஊறுகாயையும் வைத்துக்கொள்ளலாம்
பு4டி3த் மெனத் தெல்லெ வங்கி3 பு4டி3தூஸ்,Mash means it is mashed brinjal only,மசியல் என்றால் அது கத்தரிக்காய் மசியல் தான்
ஜெமனும் பொங்க3ல் ஸெரொ வங்கி4 பு4டி3த் தொ2வஸுனு,"In the feast, mashed brinjal is served with Pongal",விருந்தில் பொங்கலுடன் கத்தரிக்காய் மசியல் வைப்பார்கள்
ப4ஜ்ஜி க4டி3னி ந்ஹன்ன பில்லல்னுக் சொக்கடு3,Churned spinach is good for small children,கீரை கடையல் சிறு குழந்தைகளுக்கு நல்லது
ஹந்த3த்தக் முது3ல்லொ பூ2லுகோ3பி3க் ஸிஜ்வத்தெ ப3ரொ,It is better to boil cauliflower before cooking,சமைப்பதற்கு முன் காலிஃபிளவரை வேகவைப்பது நல்லது
பொ2ன்னி தெ3னிம் ஜு2கு3 ஹிதௌவுன் ஸே,Seasoning has many benefits,தாளிப்பதில் நிறைய நன்மைகள் உள்ளன
ல்ஹொவொ மிர்க்கைலா கூ2ர் வேன் ஸே,The red chilli is smelling very pungent,சிவப்பு மிளகாயின் நெடி அதிகமாக இருக்கிறது
பா4து3 ஒடி3 கெர்ன மெனெத் காம் லம்பொ3 உட்சயி,Making fried rice ball prolongs the work,அரிசி வடகம் செய்யவேண்டும் என்றால் வேலையை நீட்டி இழுக்கும்
பில்லல்னுக் அப்புடா3ல் ஜு2க்கு ஒப்பாயி,Children like papad very much,குழந்தைகளுக்கு அப்பளம் மிகவும் பிடிக்கும்
பொ4ஸுலாக் வர்ஜத்தெ ப3ரொ,It is better to avoid meat,மாமிசத்தை தவிர்ப்பது நல்லது
புரட்டாஸி ம்ஹடா3ம் கோன் சைனொ கா2ன்?,Who eats meat in Puratasi month?,புரட்டாசி மாதத்தில் யார் கறி சாப்பிடுவார்கள்?
கென்டக்கி பு4ஞ்ஜெ குடி3 சைனொ நாவ் பொடெ3யொ,Kentucky fried chicken is popular,கென்டக்கி வறுத்த கோழி இறைச்சி பிரபலமானது
தெகொ3 பெ4ண்டு3 சைனொ ஜு2க்கு ஒப்பாயி,He likes to eat mutton which was seasoned with garlic,அவனுக்கு ஆட்டிறைச்சியை மிகவும் பிடிக்கும்
கொ3ரு சைனொ க2யி தூ தெ3ள்கொ பொள்டி3ரஸ்,You have gained weight by eating beef,மாட்டுக்கறி சாப்பிட்டு நீ குண்டாகி விட்டாய்
தெ2வ்டெ3 தெ4ருமு து3க்கரு சைனொ அஸுத்3த4ம் மெனி மென்லஸுனு,"In some religions, pork is considered impure","சில மதங்களில், பன்றி இறைச்சி தூய்மையற்றதாக கருதப்படுகிறது"
பா4ரதும் ஹரிணு சைனொ கா2த்தெ அபராத்4 ஹோஸு,Eating venison is a crime in India,இந்தியாவில் மான் கறி சாப்பிடுவது குற்றம் ஆகும்
து3க்கரு சைனாம் மெயம் வேன் ஸே,Pork is high in fat,பன்றி இறைச்சியில் அதிக கொழுப்பு உள்ளது
குளித் க2யெத் மந்தொ3 உன்னொ பொட3யி,Eating horse gram reduces fat,கொள்ளு சாப்பிட்டால் கொழுப்பு குறையும்
குடி3 ஒண்டெ தி3ன்னுக் ஒண்டெ அண்டொ3 தக3யி,A hen lays one egg per day,கோழி ஒரு நாளுக்கு ஒரு முட்டை இடும்
கொட்3டி3 ஜு2கு3 தி3ன்னு நஜ்ஜனாத்தக் ர்ஹாஸு,Dried fish will last longer,கருவாடு நீண்ட நாட்கள் கெடாமல் இருக்கும்
ஸுக்கட் ப்ராமொபொடி3 க2னார் ஜு2கு3 தெனு ஸே,There are many people who like to eat dry mutton,உப்புக்கண்டத்தை விரும்பி சாப்பிடுபவர்கள் நிறைய பேர் உண்டு
சைலத்தக் ந்ஹாத்தக் கா2த்த முஸய்யா?,Can you eat without side dish?,தொட்டுக்கொள்ள இல்லாமல் சாப்பிட முடியுமா?
அங்கி3டி3ம் க2ட3ரியொ பீடும் அம்ப3ட் வேன் ர்ஹாஸ்,Store-bought batter is highly leavened,கடையில் வாங்கும் மாவில் அதிக புளிப்பு உள்ளது
தெ2வ்டெ3 தெனு நாஸ்தாக் அப்பம் கா2ஸுன்,Some eat jaggery dosa for breakfast,சிலர் காலை உணவிற்கு ஆப்பம் சாப்பிடுகிறார்கள்
லொனி அப்பம் ஹுன்னொ ஹுன்னொகன் க2னொ,Buttered jaggery dosa should be eaten hot,வெண்ணை ஆப்பத்தை சுடச்சுட சாப்பிடவேண்டும்
கொம்மன் பீடும் ஹந்தெ3 தி4டொ3 ருசி ர்ஹானா,Dosa made in unleavened batter is not tasty,புளிக்காத மாவில் வார்த்த தோசை சுவையாக இருக்காது
கோ4ம தந்து3 தி4டொ3 நிவயத் சோட் ர்ஹானா,Wheat dosa is not good when cold,கோதுமை தோசை ஆறினால் நன்றாக இருக்காது
கொன்னி பில்லல்னுக் ப2லார் ஒப்பானி,No child likes Idli,எந்த குழந்தைக்கும் இட்லி பிடிப்பதில்லை
ஆங்கு3ஹுன்னாக் விள்டியோஸ் மேட்ஹொயெ அகா3ரு,Idli is the best food for fever,காய்ச்சலுக்கு இட்டிலியே சிறந்த உணவு
ரொவ்வொ தமஸ் பொடி3 ஜியெத் அங்கி3டி3ம் விள்டொ3டு3ம் அப்3ப3னி,"If we go a little late, we will no get idli in the shop",சற்று தாமதமாக சென்றால் கடையில் இட்லி கிடைப்பதில்லை
தீ2ன் பூட் ஜெமனும் உக்குடு3ம் ந்ஹாத்தக் ர்ஹானா,A three-course feast cannot be without idlis,மூன்று வேளை விருந்தில் இட்லி இல்லாமல் இருக்காது
தொ2வ்லி ப2லார் ஒண்டொண்டெ தி4டொ3 ஸேரு ர்ஹாய்,Each clay pot Idli will be about the size of Dosa,சட்டி இட்லி ஒன்றொன்றும் தோசை அளவுக்கு இருக்கும்
தி4டொ3 ஸெரொ பு4ர்கொகின் தேல் ருசிகன் ர்ஹாயி,Powder and oil with dosa is also delicious,தோசையுடன் பொடியும் எண்ணையும் சுவையாக இருக்கும்
பொ3ந்தெ3க் சொக்கட் பு4ர்க்கொகன் காட்,Finely chop the banana stem,வாழைத்தண்டை நன்கு பொடியாக நறுக்கவும்
முத்3தா3 பொங்க3ல் க2னாத்தெனு கோன்தி ஸேயா?,Is there anyone who have not eaten Pongal?,பொங்கல் சாப்பிடாதவர்கள் யாராவது உண்டா?
தூப் பொங்க3ல் வேன் க2யெத் ஹோங்கு3 அவய்,"If you eat a lot of Ghee Pongal, you will feel sleepy",நெய் பொங்கல் அதிகம் சாப்பிட்டால் தூக்கம் வரும்
"கேஸரி, உப்மாவ் தி3ய்யொ கென்னிம் கெரயொ",Both Kesari and Uppuma were made in semolina,"கேசரி, உப்புமா இரண்டுமே ரவையில் செய்யப்பட்டவை"
தீ3தி3 ஹொயெத் மெல்லொ அம்ப3ட் பா4த் விட்டானா,Tamarind rice does not spoil even for two days,இரண்டு நாளானாலும் புளியோதரை ஊசிப் போகாது
அம்ப3ட் பா4த் ஸேரு லிம்பு3 பொங்க3லுக் காம் ஹொட்3னா,Lemon rice requires less work than tamarind rice,புளியோதரை அளவுக்கு எலுமிச்சம் சாதத்திற்கு வேலை வளராது
தக்காளி பொங்க3ல் கெர்ராஸி ! காய் விஶேஷ் ?,You have made tomato rice! What's special?,தக்காளி சாதம் செய்திருக்கிறீர்கள் ! என்ன விசேஷம் ?
கு3ள்ளு பொங்க3ல் நிவயெத்திக்காம் து3ஸுரொ ருசி தே3ஸு,It is a different taste when the sweet Pongal is cooled,சர்க்கரை பொங்கல் ஆறியதும் வேறு சுவை தருகிறது
ஸெக்கரு பொங்க3லும் கு3ள்ளுக் பொ3து3லு ஸெக்கர் தக3ஸுனு,"In Sugar Pongal, Sugar is added instead of jaggery",சர்க்கரை பொங்கலில் வெல்லத்திற்கு பதிலாக சீனி போடுவார்கள்
தௌ4ரா பொங்க3ல் அவ்ரெதெங்கா3 விஶேஷுயொ,Temple pongal is a specialty of Sourashtrians,கோவில் பொங்கல் சௌராஷ்டிரர்களின் சிறப்பு
தெ4ய்ஞ் பா4துக் ரொவ்வொ மிரி அவ்ண்டி ஸொடு3யா?,Shall I add little pepper gravy to curd rice?,தயிர் சாதத்திற்கு கொஞ்சம் மிளகு குழம்பு ஊற்றவா?
பை4ரி வேன் க2யெத் க4டி3ம் தெலய்,Eating too much Poori can cause oily throat,பூரி அதிகம் சாப்பிட்டால் தொண்டையில் மிதக்கும்
சப்பாத்தி சொக்கட் மெத்தன்கன் அவ்ரஸ்,The chapati has come out nice and crispy,"சப்பாத்தி நன்றாக, மிருதுவாக வந்துள்ளது"
அத்தொ கோட்தேட் திக்கெ பரோட்டா அப்3ப3ரஸ்,Chilli Parotta is now available everywhere,இப்போது எங்கெங்கும் சில்லி பரோட்டா கிடைக்கிறது
பி3ரியாணி பா3ஸ்மதி தந்து3ம் ஹந்த3ஸுனு,Biryani is cooked in basmati rice,பிரியாணி பாஸ்மதி அரிசியில் சமைக்கிறார்கள்
பௌ4ளா ரைதொ மெது3டு3க் சொக்கடு3,Zucchini tart is good for the brain,சுரைக்காய் பச்சடி மூளைக்கு நல்லது
பி3ரியாணி ஸெரொ குருமாகின் தெ4ய்ஞ் கந்தொ3 ஹொவ்ட3ஸுனு,Biriyani is served with Kurma and onion salad,பிரியாணியுடன் குருமாவையும் தயிர் பச்சடியையும் பரிமாறுகிறார்கள்
"எளொ, லொம்பூ2ல், லவங்கொ3 எல்லெகா3க் மஸாலா மெனன்","Cardamom, cloves and cinnamon are called spices","ஏலக்காய், கிராம்பு, லவங்கம் ஆகியவற்றை மசாலா என்பார்கள்"
குருமாம் மஸாலா தகி3 நலர் வடி3 ஸொட3ஸுன்,Spices and coconut paste are added to Kuruma,குருமாவில் மசாலா போட்டு தேங்காயை அரைத்து விடுவார்கள்
பீட் கொட்3டொ3 ஸே. ரொவ்வொ பனி செர்ச்சி,The dough is thick. Add some water,மாவு கெட்டியாக உள்ளது சிறிது தண்ணிர் சேர்
கென்னி பேஸ் பள்டொ ர்ஹாயி,Rice porridge will be semi solid,நொய்க்கஞ்சி அரை திடமாக இருக்கும்
காப்பி ககொ3 இஸொ தாடொ3 ஸேத்தெ?,Why is coffee so watery?,காபி ஏன் இப்படி தண்ணீராக இருக்கிறது?
ஹிங்கு3 வேன் கெ4ட்டி ஸே,Asafoetida is very solid,பெருங்காயம் மிக கட்டியாக இருக்கிறது
காப்பி பு4ர்கொ கெ4டி3 பொள்ளிட்3ரஸ்,The coffee powder has hardened,காபித்தூள் கெட்டியாகி விட்டது
துமி காய் தூ3த் வவ்ரரியொ?,What milk do you use?,நீங்கள் என்ன பால் பயன்படுத்துகிறீர்கள்?
